Time (ms),Ch1 V,Ch2 V,Ch1 A,Ch2 A,RPM,Torque,range,J,,,,
0,41.206,0,0.906,0.002,1570.225,0.013,0,0.06739039791,0,,Average J,0.8686457197
0.063,41.199,0.012,0.939,0.002,1583.628,0.015,0,0.07775815144,0,,,
0.125,41.072,0.006,0.963,0.01,1601.905,0.012,0,0.06220652115,0,,Big step,0.009277928497
0.188,40.889,0,0.98,0.01,1589.72,0.012,0,0.06220652115,0,,,
0.25,40.859,-0.006,0.98,-0.015,1570.225,0.011,0,0.05702264439,0,,,
0.313,40.761,0,0.996,0.01,1582.41,0.012,0,0.06220652115,0,,,
0.375,40.56,0,0.988,0.01,1599.468,0.011,0,0.05702264439,0,,,
0.438,40.518,0,1.004,0.01,1589.72,0.011,0,0.05702264439,0,,,
0.5,40.566,0,0.996,0.002,1571.443,0.01,0,0.05183876763,0,,,
0.563,40.39,0,0.988,0.018,1584.846,0.011,0,0.05702264439,0,,,-0.02662367179
0.625,40.451,0.006,0.98,0.002,1599.468,0.008,0,0.0414710141,0,,,
0.688,40.591,-0.012,0.98,0.01,1592.157,0.011,0,0.05702264439,0,,,
0.751,41.017,0,0.988,0.002,1575.099,0.011,0,0.05702264439,0,,,
0.813,41.157,0.012,1.004,0.01,1584.846,0.01,0,0.05183876763,0,,,
0.876,41.297,0,1.021,0.018,1599.468,0.008,0,0.0414710141,0,,,
0.938,41.534,0,1.062,0.002,1592.157,0.008,0,0.0414710141,0,,,
1.001,41.668,0.006,1.086,0.002,1576.317,0.011,0,0.05702264439,0,,,
1.063,41.76,0.006,1.135,0.002,1584.846,0.008,0,0.0414710141,0,,,
1.126,41.869,0,1.168,0.002,1600.687,0.01,0,0.05183876763,0,,,
1.188,41.845,0,1.209,0.002,1595.813,0.011,0,0.05702264439,0,,,
1.251,41.754,0.006,1.234,0.002,1578.754,0.012,0,0.06220652115,0,,,
1.314,41.534,0.012,1.258,0.01,1583.628,0.011,0,0.05702264439,0,,,
1.376,41.303,0.006,1.291,0.018,1599.468,0.01,0,0.05183876763,0,,,
1.439,40.889,0,1.299,0.002,1597.031,0.01,0,0.05183876763,0,,,
1.501,40.475,0.006,1.291,0.01,1575.099,0.011,0,0.05702264439,0,,,
1.564,40.043,0,1.275,0.002,1582.41,0.01,0,0.05183876763,0,,,
1.626,39.592,0,1.258,0.018,1597.031,0.011,0,0.05702264439,0,,,
1.689,39.221,-0.006,1.225,-0.007,1594.594,0.012,0,0.06220652115,0,,,
1.751,38.868,0,1.184,0.002,1575.099,0.011,0,0.05702264439,0,,,
1.814,38.563,0,1.135,0.002,1583.628,0.015,0,0.07775815144,0,,,
1.876,38.308,0,1.078,0.01,1598.25,0.013,0,0.06739039791,0,,,
1.939,38.222,0,1.029,0.01,1593.376,0.013,0,0.06739039791,0,,,
2.002,38.247,0,0.963,-0.007,1573.88,0.013,0,0.06739039791,0,,,
2.064,38.819,0,0.931,0.002,1584.846,0.015,0,0.07775815144,0,,,
2.127,39.117,-0.006,0.898,-0.007,1599.468,0.015,0,0.07775815144,0,,,
2.189,39.349,0.006,0.881,0.01,1594.594,0.013,0,0.06739039791,0,,,
2.252,39.55,0,0.881,0.01,1576.317,0.016,0,0.0829420282,0,,,
2.314,39.75,0,0.873,0.002,1582.41,0.015,0,0.07775815144,0,,,
2.377,39.915,0,0.881,0.002,1599.468,0.013,0,0.06739039791,0,,,
2.439,40.061,0,0.906,-0.007,1590.939,0.015,0,0.07775815144,0,,,
2.502,40.189,0,0.898,0.002,1572.662,0.015,0,0.07775815144,0,,,
2.565,40.317,0,0.914,0.01,1584.846,0.015,0,0.07775815144,0,,,
2.627,40.39,0.006,0.914,0.002,1599.468,0.012,0,0.06220652115,0,,,
2.69,40.396,0.006,0.931,0.002,1588.502,0.015,0,0.07775815144,0,,,
2.752,40.408,0.006,0.931,0.01,1571.443,0.012,0,0.06220652115,0,,,
2.815,40.353,-0.006,0.939,0.002,1584.846,0.013,0,0.06739039791,0,,,
2.877,40.341,0.006,0.947,0.018,1598.25,0.011,0,0.05702264439,0,,,
2.94,40.335,0,0.947,0.002,1588.502,0.011,0,0.05702264439,0,,,
3.002,40.311,-0.006,0.947,0.01,1564.132,0.011,0,0.05702264439,0,,,
3.065,40.305,0,0.947,0.002,1586.065,0.01,0,0.05183876763,0,,,
3.127,40.28,0.006,0.947,0.01,1600.687,0.01,0,0.05183876763,0,,,
3.19,40.244,0,0.947,0.002,1584.846,0.008,0,0.0414710141,0,,,
3.253,40.195,0,0.931,0.01,1572.662,0.008,0,0.0414710141,0,,,
3.315,40.152,0.006,0.922,-0.007,1587.283,0.01,0,0.05183876763,0,,,
3.378,40.158,0,0.914,0.002,1600.687,0.007,0,0.03628713734,0,,,
3.44,40.219,-0.006,0.914,0.01,1582.41,0.008,0,0.0414710141,0,,,
3.503,40.378,0,0.931,0.01,1573.88,0.008,0,0.0414710141,0,,,
3.565,40.822,-0.006,0.963,0.01,1588.502,0.008,0,0.0414710141,0,,,
3.628,40.944,0,0.996,0.002,1593.376,0.011,0,0.05702264439,0,,,
3.69,41.126,0.006,1.012,0.002,1575.099,0.011,0,0.05702264439,0,,,
3.753,41.273,0,1.037,0.01,1575.099,0.011,0,0.05702264439,0,,,
3.816,41.382,-0.012,1.07,0.01,1588.502,0.01,0,0.05183876763,0,,,
3.878,41.455,0,1.103,0.002,1586.065,0.01,0,0.05183876763,0,,,
3.941,41.486,-0.006,1.135,0.01,1566.569,0.011,0,0.05702264439,0,,,
4.003,41.467,-0.012,1.144,0.002,1576.317,0.015,0,0.07775815144,0,,,
4.066,41.309,0,1.176,0.01,1590.939,0.012,0,0.06220652115,0,,,
4.128,41.059,0.006,1.184,0.002,1579.973,0.015,0,0.07775815144,0,,,
4.191,40.767,0.006,1.193,0.002,1562.914,0.012,0,0.06220652115,0,,,
4.253,40.408,0,1.193,0.018,1578.754,0.012,0,0.06220652115,0,,,
4.316,39.976,0,1.193,0.002,1597.031,0.015,0,0.07775815144,0,,,
4.378,39.617,-0.006,1.16,0.01,1587.283,0.015,0,0.07775815144,0,,,
4.441,39.306,0,1.127,-0.007,1569.006,0.015,0,0.07775815144,0,,,
4.504,38.983,-0.006,1.094,0.002,1579.973,0.013,0,0.06739039791,0,,,
4.566,38.709,0.006,1.045,0.002,1597.031,0.016,0,0.0829420282,0,,,
4.629,38.454,-0.006,1.012,0.01,1582.41,0.015,0,0.07775815144,0,,,
4.691,38.241,0,0.947,-0.007,1570.225,0.016,0,0.0829420282,0,,,
4.754,38.174,0,0.914,-0.007,1583.628,0.015,0,0.07775815144,0,,,
4.816,38.186,0,0.873,0.01,1598.25,0.016,0,0.0829420282,0,,,
4.879,38.91,0,0.84,0.018,1578.754,0.013,0,0.06739039791,0,,,
4.941,39.16,0.006,0.849,0.002,1569.006,0.016,0,0.0829420282,0,,,
5.004,39.41,0.012,0.84,0.01,1584.846,0.015,0,0.07775815144,0,,,
5.067,39.629,-0.006,0.832,0.002,1594.594,0.013,0,0.06739039791,0,,,
5.129,39.824,0,0.824,0.01,1575.099,0.013,0,0.06739039791,0,,,
5.192,40.031,0.006,0.849,0.01,1571.443,0.012,0,0.06220652115,0,,,
5.254,40.207,0,0.849,0.002,1587.283,0.013,0,0.06739039791,0,,,
5.317,40.347,0.006,0.84,-0.007,1595.813,0.013,0,0.06739039791,0,,,
5.379,40.451,0.012,0.865,0.002,1576.317,0.013,0,0.06739039791,0,,,
5.442,40.53,0,0.865,0.018,1573.88,0.011,0,0.05702264439,0,,,
5.504,40.591,0.006,0.89,0.002,1590.939,0.011,0,0.05702264439,0,,,
5.567,40.512,0.006,0.898,0.01,1594.594,0.01,0,0.05183876763,0,,,
5.629,40.463,0.006,0.881,0.01,1573.88,0.007,0,0.03628713734,0,,,
5.692,40.408,0,0.89,0.002,1575.099,0.007,0,0.03628713734,0,,,
5.755,40.353,0,0.898,0.01,1590.939,0.007,0,0.03628713734,0,,,
5.817,40.335,0,0.898,0.002,1593.376,0.007,0,0.03628713734,0,,,
5.88,40.305,0,0.89,0.01,1576.317,0.01,0,0.05183876763,0,,,
5.942,40.262,0.006,0.89,0.002,1576.317,0.007,0,0.03628713734,0,,,
6.005,40.219,-0.006,0.898,0.01,1593.376,0.007,0,0.03628713734,0,,,
6.067,40.171,0.006,0.89,0.002,1594.594,0.007,0,0.03628713734,0,,,
6.13,40.158,0,0.906,0.002,1579.973,0.01,0,0.05183876763,0,,,
6.192,40.25,0,0.898,0.01,1577.536,0.008,0,0.0414710141,0,,,
6.255,40.378,0.006,0.914,0.002,1593.376,0.008,0,0.0414710141,0,,,
6.318,40.81,0,0.939,0.01,1595.813,0.011,0,0.05702264439,0,,,
6.38,40.986,0,0.963,0.01,1577.536,0.01,0,0.05183876763,0,,,
6.443,41.242,0,0.988,0.002,1578.754,0.01,0,0.05183876763,0,,,
6.505,41.443,0,1.029,-0.007,1594.594,0.011,0,0.05702264439,0,,,
6.568,41.577,-0.006,1.053,0.018,1597.031,0.011,0,0.05702264439,0,,,
6.63,41.747,0.012,1.094,0.002,1579.973,0.013,0,0.06739039791,0,,,
6.693,41.79,0,1.119,0.01,1579.973,0.011,0,0.05702264439,0,,,
6.755,41.717,-0.006,1.144,0.018,1592.157,0.011,0,0.05702264439,0,,,
6.818,41.492,0.006,1.16,0.01,1598.25,0.011,0,0.05702264439,0,,,
6.88,41.151,0,1.176,0.002,1576.317,0.015,0,0.07775815144,0,,,
6.943,40.779,0,1.176,0.002,1581.191,0.013,0,0.06739039791,0,,,
7.006,40.432,0,1.176,0.018,1594.594,0.015,0,0.07775815144,0,,,
7.068,40.128,0,1.16,-0.007,1594.594,0.015,0,0.07775815144,0,,,
7.131,39.793,0.006,1.135,-0.007,1577.536,0.015,0,0.07775815144,0,,,
7.193,39.543,0,1.111,0.01,1582.41,0.016,0,0.0829420282,0,,,
7.256,39.215,0,1.078,0.002,1594.594,0.016,0,0.0829420282,0,,,
7.318,39.014,0,1.045,-0.007,1592.157,0.013,0,0.06739039791,0,,,
7.381,38.825,0,1.029,0.002,1572.662,0.016,0,0.0829420282,0,,,
7.443,38.508,0,0.988,-0.007,1579.973,0.016,0,0.0829420282,0,,,
7.506,38.448,-0.006,0.947,0.002,1597.031,0.015,0,0.07775815144,0,,,
7.569,38.441,0.006,0.906,-0.007,1588.502,0.016,0,0.0829420282,0,,,
7.631,38.941,-0.006,0.898,0.002,1570.225,0.015,0,0.07775815144,0,,,
7.694,39.276,0.012,0.873,0.002,1582.41,0.016,0,0.0829420282,0,,,
7.756,39.556,0,0.857,0.01,1597.031,0.013,0,0.06739039791,0,,,
7.819,39.75,0.006,0.849,0.01,1584.846,0.015,0,0.07775815144,0,,,
7.881,39.927,0.006,0.857,0.002,1566.569,0.012,0,0.06220652115,0,,,
7.944,40.225,0,0.857,0.01,1582.41,0.012,0,0.06220652115,0,,,
8.006,40.445,0,0.865,0.002,1600.687,0.012,0,0.06220652115,0,,,
8.069,40.603,0,0.873,0.002,1588.502,0.013,0,0.06739039791,0,,,
8.131,40.883,0,0.89,0.018,1570.225,0.013,0,0.06739039791,0,,,
8.194,41.017,0,0.89,0.002,1583.628,0.011,0,0.05702264439,0,,,
8.257,41.072,0,0.914,0.01,1599.468,0.011,0,0.05702264439,0,,,
8.319,41.09,0.006,0.931,0.01,1582.41,0.01,0,0.05183876763,0,,,
8.382,41.212,0,0.947,0.01,1571.443,0.011,0,0.05702264439,0,,,
8.444,41.126,0,0.955,0.01,1587.283,0.01,0,0.05183876763,0,,,
8.507,40.932,0.006,0.972,0.002,1598.25,0.008,0,0.0414710141,0,,,
8.569,40.834,0,0.98,0.01,1577.536,0.007,0,0.03628713734,0,,,
8.632,40.792,0,0.988,0.01,1573.88,0.008,0,0.0414710141,0,,,
8.694,40.591,0.006,1.012,0.002,1586.065,0.007,0,0.03628713734,0,,,
8.757,40.512,0,1.012,0.01,1593.376,0.011,0,0.05702264439,0,,,
8.82,40.554,0,1.021,0.01,1572.662,0.01,0,0.05183876763,0,,,
8.882,40.384,0.006,1.037,0.01,1575.099,0.011,0,0.05702264439,0,,,
8.945,40.414,0,1.037,0.002,1590.939,0.008,0,0.0414710141,0,,,
9.007,40.505,0.006,1.053,0.002,1588.502,0.01,0,0.05183876763,0,,,
9.07,41.035,-0.006,1.053,0.01,1567.788,0.01,0,0.05183876763,0,,,
9.132,41.09,0,1.086,0.01,1576.317,0.011,0,0.05702264439,0,,,
9.195,41.242,0.006,1.086,0.01,1590.939,0.01,0,0.05183876763,0,,,
9.257,41.48,0,1.111,0.01,1582.41,0.015,0,0.07775815144,0,,,
9.32,41.644,0.006,1.144,0.002,1564.132,0.013,0,0.06739039791,0,,,
9.382,41.766,0,1.16,0.01,1578.754,0.015,0,0.07775815144,0,,,
9.445,41.82,0,1.184,0.002,1592.157,0.015,0,0.07775815144,0,,,
9.508,41.924,0,1.217,-0.007,1582.41,0.015,0,0.07775815144,0,,,
9.57,41.839,-0.006,1.234,-0.007,1561.695,0.017,0,0.08812590497,0,,,
9.633,41.674,0.006,1.258,0.002,1579.973,0.016,0,0.0829420282,0,,,
9.695,41.4,0,1.275,0.01,1597.031,0.015,0,0.07775815144,0,,,
9.758,41.047,-0.012,1.283,0.01,1587.283,0.015,0,0.07775815144,0,,,
9.82,40.609,0,1.275,0.002,1564.132,0.013,0,0.06739039791,0,,,
9.883,40.122,0,1.266,-0.007,1582.41,0.016,0,0.0829420282,0,,,
9.945,39.696,0,1.234,0.01,1597.031,0.013,0,0.06739039791,0,,,
10.008,39.294,0,1.209,0.002,1582.41,0.015,0,0.07775815144,0,,,
10.071,38.929,-0.006,1.168,0.01,1570.225,0.016,0,0.0829420282,0,,,
10.133,38.582,0.006,1.152,0.01,1584.846,0.013,0,0.06739039791,0,,,
10.196,38.314,-0.012,1.094,0.01,1599.468,0.013,0,0.06739039791,0,,,
10.258,38.192,0,1.053,0.01,1582.41,0.012,0,0.06220652115,0,,,
10.321,38.204,0,1.004,0.002,1572.662,0.012,0,0.06220652115,0,,,
10.383,38.752,0,0.972,0.002,1586.065,0.011,0,0.05702264439,0,,,
10.446,39.044,0,0.931,0.002,1599.468,0.012,0,0.06220652115,0,,,
10.508,39.294,0,0.914,0.01,1579.973,0.012,0,0.06220652115,0,,,
10.571,39.525,-0.006,0.906,0.002,1571.443,0.012,0,0.06220652115,0,,,
10.633,39.75,-0.006,0.881,0.01,1588.502,0.01,0,0.05183876763,0,,,
10.696,39.939,0,0.865,0.002,1598.25,0.01,0,0.05183876763,0,,,
10.759,40.104,0,0.873,0.01,1578.754,0.01,0,0.05183876763,0,,,
10.821,40.231,0,0.865,0.002,1573.88,0.007,0,0.03628713734,0,,,
10.884,40.353,0.006,0.865,0.002,1588.502,0.01,0,0.05183876763,0,,,
10.946,40.457,0,0.865,0.01,1597.031,0.011,0,0.05702264439,0,,,
11.009,40.481,0,0.873,0.01,1579.973,0.012,0,0.06220652115,0,,,
11.071,40.499,0,0.873,0.002,1575.099,0.011,0,0.05702264439,0,,,
11.134,40.432,0,0.873,0.01,1590.939,0.01,0,0.05183876763,0,,,
11.196,40.39,-0.006,0.89,0.002,1597.031,0.007,0,0.03628713734,0,,,
11.259,40.329,0.006,0.898,0.002,1578.754,0.01,0,0.05183876763,0,,,
11.322,40.305,0,0.906,-0.007,1577.536,0.011,0,0.05702264439,0,,,
11.384,40.274,-0.006,0.906,0.01,1590.939,0.011,0,0.05702264439,0,,,
11.447,40.262,0.012,0.914,-0.007,1598.25,0.01,0,0.05183876763,0,,,
11.509,40.231,0,0.914,0.01,1579.973,0.013,0,0.06739039791,0,,,
11.572,40.183,-0.006,0.914,0.002,1577.536,0.012,0,0.06220652115,0,,,
11.634,40.14,0.006,0.914,0.018,1593.376,0.012,0,0.06220652115,0,,,
11.697,40.146,0.012,0.906,0.002,1599.468,0.011,0,0.05702264439,0,,,
11.759,40.238,-0.006,0.906,0.01,1581.191,0.011,0,0.05702264439,0,,,
11.822,40.353,0,0.906,0.002,1577.536,0.012,0,0.06220652115,0,,,
11.884,40.834,0,0.931,0.01,1592.157,0.012,0,0.06220652115,0,,,
11.947,40.992,0,0.931,0.002,1600.687,0.012,0,0.06220652115,0,,,
12.01,41.157,0.006,0.972,0.01,1583.628,0.011,0,0.05702264439,0,,,
12.072,41.309,0,0.98,0.002,1577.536,0.012,0,0.06220652115,0,,,
12.135,41.431,0.006,1.004,0.01,1593.376,0.015,0,0.07775815144,0,,,
12.197,41.516,0,1.012,0.01,1600.687,0.013,0,0.06739039791,0,,,
12.26,41.565,0.006,1.037,-0.007,1579.973,0.015,0,0.07775815144,0,,,
12.322,41.553,0,1.053,-0.007,1578.754,0.012,0,0.06220652115,0,,,
12.385,41.413,0,1.062,0.002,1594.594,0.013,0,0.06739039791,0,,,
12.447,41.157,0,1.094,0.01,1598.25,0.015,0,0.07775815144,0,,,
12.51,40.865,0,1.111,0.01,1579.973,0.013,0,0.06739039791,0,,,
12.573,40.475,0.006,1.103,-0.007,1578.754,0.015,0,0.07775815144,0,,,
12.635,40.079,0,1.103,0.002,1593.376,0.012,0,0.06220652115,0,,,
12.698,39.677,0,1.078,0.002,1594.594,0.013,0,0.06739039791,0,,,
12.76,39.361,0,1.07,0.002,1576.317,0.015,0,0.07775815144,0,,,
12.823,39.056,0.006,1.053,0.002,1579.973,0.016,0,0.0829420282,0,,,
12.885,38.764,0,1.004,0.002,1595.813,0.013,0,0.06739039791,0,,,
12.948,38.515,0.006,0.963,0.01,1593.376,0.012,0,0.06220652115,0,,,
13.01,38.277,0,0.931,0.01,1575.099,0.013,0,0.06739039791,0,,,
13.073,38.222,-0.006,0.865,0.01,1582.41,0.012,0,0.06220652115,0,,,
13.135,38.259,0,0.824,0.01,1595.813,0.011,0,0.05702264439,0,,,
13.198,38.971,-0.012,0.791,-0.007,1589.72,0.012,0,0.06220652115,0,,,
13.261,39.203,-0.006,0.775,0.002,1572.662,0.011,0,0.05702264439,0,,,
13.323,39.464,0,0.75,0.002,1582.41,0.011,0,0.05702264439,0,,,
13.386,39.738,0,0.75,0.018,1597.031,0.01,0,0.05183876763,0,,,
13.448,39.86,0,0.734,0.002,1588.502,0.012,0,0.06220652115,0,,,
13.511,40.098,-0.006,0.726,0.018,1570.225,0.011,0,0.05702264439,0,,,
13.573,40.384,0.006,0.734,-0.007,1581.191,0.011,0,0.05702264439,0,,,
13.636,40.499,0,0.742,0.002,1597.031,0.008,0,0.0414710141,0,,,
13.698,40.475,0.006,0.75,0.002,1588.502,0.011,0,0.05702264439,0,,,
13.761,40.609,0.006,0.767,0.002,1569.006,0.01,0,0.05183876763,0,,,
13.824,40.798,0,0.775,0.002,1582.41,0.012,0,0.06220652115,0,,,
13.886,40.615,0,0.791,-0.007,1597.031,0.011,0,0.05702264439,0,,,
13.949,40.512,0.006,0.816,0.01,1587.283,0.011,0,0.05702264439,0,,,
14.011,40.56,-0.006,0.832,0.002,1570.225,0.008,0,0.0414710141,0,,,
14.074,40.396,0,0.849,0.002,1584.846,0.01,0,0.05183876763,0,,,
14.136,40.189,0.006,0.857,0.018,1598.25,0.01,0,0.05183876763,0,,,
14.199,40.365,0,0.84,0.002,1587.283,0.01,0,0.05183876763,0,,,
14.261,40.39,0,0.849,-0.007,1569.006,0.011,0,0.05702264439,0,,,
14.324,40.231,0.006,0.865,0.01,1586.065,0.012,0,0.06220652115,0,,,
14.386,40.152,-0.006,0.849,0.01,1599.468,0.011,0,0.05702264439,0,,,
14.449,40.292,0,0.84,0.002,1587.283,0.012,0,0.06220652115,0,,,
14.512,40.353,0,0.84,0.002,1567.788,0.011,0,0.05702264439,0,,,
14.574,40.329,0.006,0.849,0.018,1584.846,0.011,0,0.05702264439,0,,,
14.637,40.932,0,0.857,0.01,1599.468,0.011,0,0.05702264439,0,,,
14.699,41.212,0,0.881,0.002,1588.502,0.015,0,0.07775815144,0,,,
14.762,41.279,-0.006,0.881,0.01,1570.225,0.013,0,0.06739039791,0,,,
14.824,41.364,0,0.898,0.01,1584.846,0.012,0,0.06220652115,0,,,
14.887,41.717,-0.006,0.939,-0.007,1599.468,0.015,0,0.07775815144,0,,,
14.949,41.863,0.006,0.98,0.002,1587.283,0.015,0,0.07775815144,0,,,
15.012,41.814,0,0.988,0.01,1569.006,0.013,0,0.06739039791,0,,,
15.075,41.875,0,1.037,0.018,1583.628,0.012,0,0.06220652115,0,,,
15.137,41.662,0.006,1.078,0.01,1601.905,0.015,0,0.07775815144,0,,,
15.2,41.242,0,1.094,0.01,1590.939,0.016,0,0.0829420282,0,,,
15.262,40.81,0.006,1.119,0.01,1567.788,0.015,0,0.07775815144,0,,,
15.325,40.566,0,1.119,-0.007,1584.846,0.013,0,0.06739039791,0,,,
15.387,40.189,0,1.111,0.01,1603.124,0.013,0,0.06739039791,0,,,
15.45,39.854,0,1.103,0.01,1590.939,0.013,0,0.06739039791,0,,,
15.512,39.604,-0.012,1.086,0.002,1569.006,0.012,0,0.06220652115,0,,,
15.575,39.416,-0.006,1.053,0.01,1586.065,0.01,0,0.05183876763,0,,,
15.637,39.105,0,1.021,-0.015,1601.905,0.011,0,0.05702264439,0,,,
15.7,38.813,0,0.98,0.002,1590.939,0.012,0,0.06220652115,0,,,
15.763,38.697,-0.006,0.947,0.01,1566.569,0.01,0,0.05183876763,0,,,
15.825,38.563,0,0.914,0.002,1588.502,0.012,0,0.06220652115,0,,,
15.888,38.508,0.006,0.849,-0.007,1604.342,0.012,0,0.06220652115,0,,,
15.95,39.093,0,0.816,0.01,1592.157,0.012,0,0.06220652115,0,,,
16.013,39.33,0.006,0.791,-0.007,1567.788,0.01,0,0.05183876763,0,,,
16.075,39.537,0,0.767,-0.007,1584.846,0.011,0,0.05702264439,0,,,
16.138,39.775,0,0.75,-0.007,1601.905,0.011,0,0.05702264439,0,,,
16.2,40.104,0.006,0.759,-0.007,1589.72,0.012,0,0.06220652115,0,,,
16.263,40.329,-0.006,0.742,0.01,1572.662,0.011,0,0.05702264439,0,,,
16.326,40.451,0.006,0.767,0.002,1588.502,0.012,0,0.06220652115,0,,,
16.388,40.578,0,0.775,-0.007,1604.342,0.01,0,0.05183876763,0,,,
16.451,40.828,0,0.8,0.01,1592.157,0.013,0,0.06739039791,0,,,
16.513,40.944,0,0.832,0.01,1573.88,0.01,0,0.05183876763,0,,,
16.576,41.059,0,0.857,0.002,1587.283,0.01,0,0.05183876763,0,,,
16.638,41.175,0.006,0.881,0.01,1601.905,0.011,0,0.05702264439,0,,,
16.701,41.242,0.006,0.906,-0.007,1594.594,0.011,0,0.05702264439,0,,,
16.763,41.102,0,0.922,0.018,1578.754,0.012,0,0.06220652115,0,,,
16.826,40.895,0.006,0.955,0.018,1586.065,0.01,0,0.05183876763,0,,,
16.888,40.919,-0.006,0.963,-0.007,1600.687,0.011,0,0.05702264439,0,,,
16.951,40.792,0,0.98,0.002,1598.25,0.01,0,0.05183876763,0,,,
17.014,40.603,0,0.972,0.01,1579.973,0.012,0,0.06220652115,0,,,
17.076,40.609,0,0.98,0.002,1584.846,0.011,0,0.05702264439,0,,,
17.139,40.615,0.006,0.972,0.002,1600.687,0.011,0,0.05702264439,0,,,
17.201,40.396,-0.006,0.98,0.01,1599.468,0.012,0,0.06220652115,0,,,
17.264,40.408,0,0.98,0.01,1582.41,0.012,0,0.06220652115,0,,,
17.326,40.609,0.012,0.963,-0.007,1586.065,0.011,0,0.05702264439,0,,,
17.389,40.919,0.006,0.98,0.018,1599.468,0.012,0,0.06220652115,0,,,
17.451,41.108,-0.006,1.004,0.01,1600.687,0.008,0,0.0414710141,0,,,
17.514,41.327,-0.006,1.004,0.002,1582.41,0.011,0,0.05702264439,0,,,
17.577,41.504,0,1.021,0.01,1584.846,0.01,0,0.05183876763,0,,,
17.639,41.607,0,1.045,0.01,1599.468,0.012,0,0.06220652115,0,,,
17.702,41.747,0,1.094,0.002,1603.124,0.011,0,0.05702264439,0,,,
17.764,41.833,0.006,1.119,0.002,1581.191,0.012,0,0.06220652115,0,,,
17.827,41.857,-0.006,1.152,-0.007,1584.846,0.013,0,0.06739039791,0,,,
17.889,41.802,-0.006,1.217,-0.007,1597.031,0.011,0,0.05702264439,0,,,
17.952,41.62,0,1.234,0.01,1601.905,0.011,0,0.05702264439,0,,,
18.014,41.431,-0.006,1.25,0.01,1584.846,0.012,0,0.06220652115,0,,,
18.077,41.066,0.006,1.266,0.01,1583.628,0.013,0,0.06739039791,0,,,
18.139,40.639,0,1.258,-0.007,1599.468,0.011,0,0.05702264439,0,,,
18.202,40.183,0.006,1.258,0.002,1605.561,0.011,0,0.05702264439,0,,,
18.265,39.744,0,1.234,0.002,1588.502,0.011,0,0.05702264439,0,,,
18.327,39.373,0.006,1.209,0.01,1582.41,0.012,0,0.06220652115,0,,,
18.39,38.989,0,1.176,0.01,1597.031,0.01,0,0.05183876763,0,,,
18.452,38.679,0.012,1.127,0.01,1610.435,0.011,0,0.05702264439,0,,,
18.515,38.411,0,1.07,0.018,1593.376,0.008,0,0.0414710141,0,,,
18.577,38.271,0.006,1.021,0.002,1579.973,0.01,0,0.05183876763,0,,,
18.64,38.265,0,0.955,-0.007,1593.376,0.011,0,0.05702264439,0,,,
18.702,39.732,0,0.922,-0.007,1610.435,0.011,0,0.05702264439,0,,,
18.765,39.075,0,0.898,0.002,1597.031,0.011,0,0.05702264439,0,,,
18.828,39.324,0.006,0.849,0.018,1577.536,0.01,0,0.05183876763,0,,,
18.89,39.507,0.006,0.832,0.018,1593.376,0.011,0,0.05702264439,0,,,
18.953,39.702,0,0.84,-0.007,1606.779,0.008,0,0.0414710141,0,,,
19.015,39.884,0.006,0.84,0.01,1597.031,0.01,0,0.05183876763,0,,,
19.078,40.061,0,0.84,0.002,1578.754,0.01,0,0.05183876763,0,,,
19.14,40.189,0,0.865,0.01,1593.376,0.008,0,0.0414710141,0,,,
19.203,40.298,0,0.881,-0.007,1606.779,0.01,0,0.05183876763,0,,,
19.265,40.438,0,0.881,0.002,1595.813,0.012,0,0.06220652115,0,,,
19.328,40.438,0,0.89,0.002,1577.536,0.01,0,0.05183876763,0,,,
19.39,40.414,0.006,0.898,0.002,1590.939,0.008,0,0.0414710141,0,,,
19.453,40.414,0.006,0.906,0.002,1603.124,0.006,0,0.03110326058,0,,,
19.516,40.39,-0.006,0.906,0.01,1592.157,0.01,0,0.05183876763,0,,,
19.578,40.341,0,0.922,-0.007,1573.88,0.011,0,0.05702264439,0,,,
19.641,40.317,0.006,0.922,0.01,1590.939,0.006,0,0.03110326058,0,,,
19.703,40.305,0,0.914,0.002,1604.342,0.006,0,0.03110326058,0,,,
19.766,40.292,0,0.922,-0.007,1592.157,0.01,0,0.05183876763,0,,,
19.828,40.256,0,0.914,0.002,1575.099,0.008,0,0.0414710141,0,,,
19.891,40.231,0.006,0.906,-0.007,1589.72,0.01,0,0.05183876763,0,,,
19.953,40.183,0,0.898,-0.007,1604.342,0.008,0,0.0414710141,0,,,
20.016,40.164,0,0.914,0.002,1590.939,0.008,0,0.0414710141,0,,,
20.079,40.25,-0.006,0.89,0.002,1572.662,0.01,0,0.05183876763,0,,,
20.141,40.335,0.006,0.881,0.002,1589.72,0.01,0,0.05183876763,0,,,
20.204,40.785,-0.006,0.906,0.002,1603.124,0.01,0,0.05183876763,0,,,
20.266,40.944,0.012,0.931,-0.007,1592.157,0.012,0,0.06220652115,0,,,
20.329,41.114,0,0.963,0.002,1573.88,0.013,0,0.06739039791,0,,,
20.391,41.26,0.006,0.98,0.002,1587.283,0.013,0,0.06739039791,0,,,
20.454,41.346,0,1.021,0.002,1603.124,0.012,0,0.06220652115,0,,,
20.516,41.473,0,1.045,0.01,1593.376,0.015,0,0.07775815144,0,,,
