Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	-0.274	20.932	3.085	2.392	973.568	-0.747
0.002	-0.274	20.919	3.069	2.400	971.131	-0.748
0.003	-0.274	20.913	3.060	2.400	969.913	-0.748
0.005	-0.268	20.907	3.052	2.392	969.913	-0.748
0.006	-0.262	20.913	3.028	2.384	968.695	-0.746
0.008	-0.268	20.913	3.011	2.392	965.039	-0.748
0.009	-0.262	20.919	3.003	2.392	962.602	-0.749
0.011	-0.256	20.913	2.995	2.400	962.602	-0.748
0.012	-0.268	20.913	2.970	2.400	961.384	-0.746
0.014	-0.268	20.913	2.962	2.392	958.947	-0.746
0.015	-0.262	20.901	2.954	2.400	956.510	-0.748
0.017	-0.250	20.907	2.937	2.392	957.728	-0.746
0.019	-0.256	20.889	2.929	2.400	954.073	-0.748
0.020	-0.237	20.883	2.905	2.384	961.384	-0.746
0.022	46.295	20.883	2.921	2.392	958.947	-0.741
0.023	49.303	20.895	2.954	2.400	965.039	-0.744
0.025	49.437	20.877	2.987	2.392	967.476	-0.748
0.026	49.443	20.895	3.019	2.400	971.131	-0.747
0.028	49.437	20.877	3.036	2.384	974.787	-0.744
0.029	49.437	20.883	3.077	2.392	976.005	-0.744
0.031	49.437	20.858	3.093	2.392	974.787	-0.744
0.033	49.437	20.871	3.118	2.392	971.131	-0.748
0.034	49.431	20.858	3.142	2.400	973.568	-0.746
0.036	49.437	20.865	3.150	2.392	968.695	-0.746
0.037	49.437	20.858	3.183	2.408	968.695	-0.746
0.039	49.431	20.865	3.208	2.400	965.039	-0.747
0.040	49.425	20.871	3.208	2.400	963.821	-0.746
0.042	49.425	20.846	3.241	2.375	963.821	-0.746
0.043	49.413	20.846	3.257	2.400	961.384	-0.746
0.045	49.419	20.828	3.273	2.392	960.165	-0.747
0.046	49.419	20.834	3.290	2.408	956.510	-0.746
0.048	49.425	20.822	3.314	2.392	957.728	-0.747
0.050	49.419	20.846	3.314	2.400	955.291	-0.746
0.051	49.419	20.816	3.347	2.384	954.073	-0.747
0.053	49.407	20.834	3.372	2.400	956.510	-0.746
0.054	49.413	20.816	3.388	2.384	961.384	-0.747
0.056	49.407	20.834	3.404	2.400	966.258	-0.744
0.057	49.407	20.804	3.429	2.392	973.568	-0.747
0.059	49.400	20.810	3.429	2.400	973.568	-0.747
0.060	49.394	20.798	3.462	2.392	973.568	-0.747
0.062	49.388	20.810	3.470	2.416	972.350	-0.747
0.064	49.400	20.798	3.486	2.400	969.913	-0.747
0.065	49.388	20.804	3.511	2.400	969.913	-0.746
0.067	49.388	20.798	3.527	2.392	967.476	-0.746
0.068	49.382	20.798	3.544	2.392	967.476	-0.747
0.070	49.388	20.798	3.560	2.392	963.821	-0.746
0.071	49.376	20.779	3.585	2.400	962.602	-0.746
0.073	49.370	20.785	3.601	2.408	961.384	-0.747
0.074	49.364	20.773	3.601	2.392	958.947	-0.747
0.076	49.376	20.779	3.626	2.392	957.728	-0.747
0.077	49.370	20.767	3.634	2.400	955.291	-0.746
0.079	49.364	20.773	3.650	2.400	955.291	-0.746
0.081	49.364	20.761	3.658	2.400	954.073	-0.747
0.082	49.352	20.767	3.683	2.400	955.291	-0.746
0.084	49.358	20.743	3.707	2.408	961.384	-0.746
0.085	49.346	20.761	3.707	2.400	963.821	-0.747
0.087	49.340	20.725	3.732	2.400	971.131	-0.747
