Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	49.455	19.945	3.282	2.277	917.518	-0.708
0.002	49.449	19.957	3.314	2.277	915.081	-0.709
0.003	49.449	19.945	3.322	2.285	913.863	-0.709
0.005	49.449	19.945	3.347	2.269	912.644	-0.709
0.006	49.449	19.933	3.363	2.269	911.426	-0.708
0.008	49.437	19.939	3.388	2.277	908.989	-0.708
0.009	49.437	19.933	3.404	2.285	908.989	-0.709
0.011	49.431	19.933	3.413	2.277	905.333	-0.708
0.012	49.425	19.939	3.445	2.277	905.333	-0.707
0.014	49.425	19.921	3.454	2.285	904.115	-0.707
0.015	49.431	19.933	3.478	2.269	902.896	-0.708
0.017	49.425	19.933	3.494	2.285	901.678	-0.708
0.019	49.419	19.939	3.527	2.277	898.022	-0.708
0.020	49.413	19.921	3.519	2.277	900.459	-0.707
0.022	49.407	19.933	3.552	2.285	893.149	-0.708
0.023	49.407	19.927	3.568	2.277	896.804	-0.708
0.025	49.407	19.921	3.576	2.277	902.896	-0.708
0.026	49.407	19.933	3.593	2.285	908.989	-0.708
0.028	49.394	19.933	3.617	2.285	913.863	-0.708
0.029	49.394	19.939	3.617	2.285	917.518	-0.709
0.031	49.376	19.945	3.650	2.277	919.955	-0.708
0.033	49.382	19.933	3.675	2.285	916.300	-0.708
0.034	49.376	19.951	3.675	2.285	916.300	-0.708
0.036	49.364	19.939	3.691	2.277	915.081	-0.710
0.037	49.340	19.951	3.724	2.277	913.863	-0.708
0.039	49.358	19.933	3.724	2.285	910.207	-0.707
0.040	49.352	19.945	3.748	2.277	911.426	-0.709
0.042	49.358	19.939	3.765	2.277	908.989	-0.709
0.043	49.352	19.945	3.781	2.277	908.989	-0.710
0.045	49.352	19.933	3.798	2.277	906.552	-0.710
0.046	49.364	19.945	3.814	2.285	905.333	-0.709
0.048	49.340	19.939	3.822	2.277	904.115	-0.709
0.050	49.340	19.939	3.830	2.285	901.678	-0.710
0.051	49.340	19.921	3.863	2.285	901.678	-0.709
0.053	49.333	19.939	3.879	2.277	898.022	-0.710
0.054	49.333	19.933	3.896	2.277	893.149	-0.709
0.056	49.321	19.939	3.896	2.277	895.585	-0.708
0.057	49.321	19.933	3.920	2.285	902.896	-0.710
0.059	49.321	19.945	3.945	2.285	908.989	-0.709
0.060	49.315	19.921	3.961	2.277	913.863	-0.710
0.062	49.303	19.933	3.978	2.277	917.518	-0.710
0.064	49.309	19.927	3.986	2.285	917.518	-0.711
0.065	49.303	19.927	4.002	2.269	915.081	-0.708
0.067	49.309	19.927	4.010	2.277	915.081	-0.711
0.068	49.303	19.927	4.027	2.277	912.644	-0.709
0.070	49.303	19.933	4.043	2.285	911.426	-0.713
0.071	49.291	19.933	4.060	2.285	911.426	-0.711
0.073	49.285	19.921	4.076	2.277	907.770	-0.711
0.074	49.285	19.921	4.092	2.277	908.989	-0.710
0.076	49.285	19.927	4.109	2.277	905.333	-0.711
0.077	49.279	19.915	4.125	2.277	904.115	-0.713
0.079	49.273	19.927	4.125	2.277	902.896	-0.711
0.081	49.273	19.927	4.150	2.277	901.678	-0.711
0.082	49.266	19.933	4.158	2.285	900.459	-0.711
0.084	49.266	19.927	4.174	2.277	898.022	-0.713
0.085	49.260	19.927	4.191	2.277	899.241	-0.713
0.087	49.260	19.915	4.199	2.285	904.115	-0.710
0.088	49.254	19.927	4.215	2.277	901.678	-0.713
0.090	49.248	19.915	4.232	2.269	902.896	-0.713
0.091	49.236	19.933	4.256	2.277	911.426	-0.713
0.093	49.242	19.927	4.264	2.277	915.081	-0.710
0.095	49.242	19.939	4.273	2.277	921.174	-0.710
0.096	49.230	19.927	4.281	2.277	918.737	-0.711
0.098	49.230	19.939	4.305	2.269	917.518	-0.711
0.099	49.224	19.927	4.314	2.277	917.518	-0.710
0.101	49.224	19.939	4.338	2.277	912.644	-0.713
0.102	49.218	19.933	4.355	2.269	912.644	-0.713
0.104	49.218	19.945	4.363	2.293	908.989	-0.713
0.105	49.218	19.927	4.371	2.277	910.207	-0.713
0.107	49.206	19.957	4.395	2.269	906.552	-0.710
0.108	49.199	19.939	4.412	2.277	908.989	-0.711
0.110	49.206	19.945	4.404	2.277	906.552	-0.714
0.112	49.193	19.933	4.436	2.269	905.333	-0.713
0.113	49.193	19.939	4.453	2.277	902.896	-0.711
0.115	49.187	19.927	4.461	2.277	902.896	-0.714
0.116	49.187	19.933	4.469	2.277	901.678	-0.713
0.118	49.181	19.933	4.486	2.277	899.241	-0.714
0.119	49.175	19.939	4.486	2.277	898.022	-0.711
0.121	49.181	19.933	4.502	2.277	898.022	-0.713
0.122	49.169	19.939	4.518	2.277	905.333	-0.713
0.124	49.175	19.933	4.535	2.269	910.207	-0.714
0.126	49.169	19.927	4.559	2.269	916.300	-0.713
0.127	49.157	19.933	4.576	2.285	918.737	-0.713
0.129	49.163	19.933	4.584	2.285	917.518	-0.714
0.130	49.151	19.927	4.592	2.269	915.081	-0.715
0.132	49.157	19.921	4.608	2.277	913.863	-0.714
0.133	49.151	19.921	4.608	2.269	912.644	-0.713
0.135	49.139	19.915	4.641	2.285	911.426	-0.715
0.136	49.139	19.927	4.649	2.269	910.207	-0.714
0.138	49.139	19.927	4.658	2.269	907.770	-0.715
0.139	49.145	19.939	4.674	2.277	907.770	-0.713
0.141	49.133	19.921	4.699	2.269	904.115	-0.714
0.143	49.126	19.933	4.707	2.285	906.552	-0.714
0.144	49.126	19.927	4.715	2.277	902.896	-0.715
0.146	49.120	19.927	4.731	2.277	900.459	-0.715
0.147	49.114	19.915	4.739	2.269	900.459	-0.715
0.149	49.114	19.939	4.756	2.269	899.241	-0.714
0.150	49.114	19.915	4.780	2.277	896.804	-0.714
0.152	49.108	19.921	4.789	2.277	896.804	-0.714
0.153	49.102	19.921	4.797	2.269	901.678	-0.715
0.155	49.096	19.921	4.813	2.269	907.770	-0.713
0.157	49.102	19.915	4.830	2.277	911.426	-0.715
0.158	49.090	19.909	4.846	2.277	919.955	-0.714
0.160	49.084	19.915	4.846	2.277	918.737	-0.715
0.161	24.639	19.921	4.797	2.269	933.358	-0.711
0.163	0.804	19.915	4.797	2.277	923.611	-0.713
0.164	-0.329	19.921	4.797	2.269	910.207	-0.716
0.166	-0.384	19.909	4.756	2.261	910.207	-0.714
0.167	-0.390	19.915	4.739	2.285	912.644	-0.714
0.169	-0.390	19.915	4.699	2.277	912.644	-0.714
0.170	-0.396	19.921	4.674	2.277	908.989	-0.716
0.172	-0.390	19.903	4.649	2.277	907.770	-0.714
0.174	-0.390	19.927	4.633	2.277	905.333	-0.715
0.175	-0.390	19.915	4.600	2.293	906.552	-0.715
0.177	-0.384	19.927	4.584	2.285	904.115	-0.716
0.178	-0.377	19.915	4.559	2.277	901.678	-0.715
0.180	-0.384	19.915	4.527	2.285	901.678	-0.715
0.181	-0.384	19.921	4.510	2.277	899.241	-0.714
0.183	-0.371	19.909	4.502	2.285	891.930	-0.714
0.184	-0.377	19.921	4.469	2.277	894.367	-0.715
0.186	-0.371	19.909	4.445	2.277	900.459	-0.715
0.188	-0.377	19.903	4.428	2.269	906.552	-0.716
0.189	-0.371	19.903	4.404	2.277	911.426	-0.715
0.191	-0.371	19.909	4.379	2.269	917.518	-0.716
0.192	-0.365	19.909	4.363	2.277	918.737	-0.716
0.194	-0.371	19.909	4.346	2.277	915.081	-0.718
0.195	-0.371	19.903	4.330	2.269	916.300	-0.714
0.197	-0.359	19.909	4.314	2.277	913.863	-0.718
0.198	-0.365	19.903	4.289	2.277	913.863	-0.716
0.200	-0.365	19.909	4.273	2.285	908.989	-0.715
0.201	-0.347	19.897	4.256	2.277	908.989	-0.716
0.203	-0.365	19.909	4.248	2.285	908.989	-0.715
0.205	-0.359	19.890	4.215	2.277	906.552	-0.715
0.206	-0.353	19.909	4.191	2.277	904.115	-0.719
0.208	-0.359	19.897	4.183	2.277	901.678	-0.715
0.209	-0.347	19.909	4.150	2.269	904.115	-0.714
0.211	-0.359	19.897	4.150	2.277	900.459	-0.715
0.212	-0.353	19.897	4.117	2.277	900.459	-0.716
0.214	-0.347	19.890	4.109	2.277	898.022	-0.715
0.215	-0.353	19.909	4.092	2.269	901.678	-0.714
0.217	-0.347	19.897	4.068	2.269	898.022	-0.715
0.219	-0.335	19.897	4.051	2.269	902.896	-0.716
0.220	-0.353	19.878	4.051	2.269	910.207	-0.715
0.222	-0.335	19.884	4.019	2.277	915.081	-0.716
0.223	-0.347	19.878	4.002	2.285	921.174	-0.715
0.225	-0.341	19.878	3.986	2.277	917.518	-0.714
0.226	-0.341	19.872	3.978	2.277	918.737	-0.714
0.228	-0.335	19.884	3.953	2.269	915.081	-0.716
0.229	-0.323	19.872	3.937	2.285	915.081	-0.715
0.231	-0.335	19.884	3.920	2.269	913.863	-0.713
0.232	-0.323	19.878	3.896	2.269	912.644	-0.714
0.234	-0.323	19.890	3.888	2.269	908.989	-0.714
0.236	-0.329	19.884	3.871	2.269	907.770	-0.715
0.237	-0.329	19.872	3.863	2.285	907.770	-0.713
0.239	-0.323	19.872	3.838	2.269	904.115	-0.713
0.240	-0.329	19.860	3.822	2.269	905.333	-0.711
0.242	-0.329	19.878	3.814	2.277	902.896	-0.715
0.243	-0.311	19.866	3.773	2.277	902.896	-0.713
0.245	-0.317	19.872	3.773	2.277	900.459	-0.713
0.246	-0.317	19.866	3.757	2.269	901.678	-0.711
0.248	-0.317	19.866	3.748	2.277	893.149	-0.713
0.250	-0.317	19.860	3.724	2.285	899.241	-0.715
0.251	-0.311	19.872	3.716	2.269	902.896	-0.714
0.253	-0.311	19.854	3.699	2.277	907.770	-0.715
0.254	-0.311	19.878	3.675	2.277	915.081	-0.713
0.256	-0.304	19.860	3.650	2.277	917.518	-0.713
0.257	-0.304	19.866	3.658	2.277	918.737	-0.713
0.259	-0.298	19.860	3.634	2.277	916.300	-0.715
0.260	-0.304	19.878	3.617	2.277	915.081	-0.715
