Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	48.883	36.304	6.214	4.038	1635.205	-1.127
0.002	48.877	36.268	6.222	4.030	1637.642	-1.128
0.004	48.895	36.298	6.230	4.022	1643.734	-1.127
0.005	48.883	36.323	6.230	4.022	1651.045	-1.127
0.007	48.889	36.298	6.230	4.030	1648.608	-1.129
0.009	48.877	36.292	6.230	4.030	1647.390	-1.128
0.011	2.240	36.323	6.197	4.022	1644.953	-1.125
0.013	-0.414	36.329	6.140	4.030	1641.297	-1.127
0.014	-0.481	36.292	6.099	4.022	1637.642	-1.128
0.016	-0.475	36.329	6.050	4.022	1637.642	-1.128
0.018	-0.487	36.329	6.017	4.022	1637.642	-1.128
0.020	-0.487	36.304	5.968	4.030	1642.516	-1.127
0.022	-0.493	36.256	5.927	4.030	1647.390	-1.127
0.023	-0.481	36.286	5.886	4.022	1652.264	-1.128
0.025	-0.475	36.317	5.853	4.030	1649.827	-1.125
0.027	-0.475	36.329	5.804	4.038	1646.171	-1.127
0.029	-0.481	36.304	5.763	4.022	1641.297	-1.127
0.031	-0.475	36.317	5.739	4.022	1638.861	-1.128
0.032	-0.469	36.335	5.714	4.038	1638.861	-1.127
0.034	-0.469	36.292	5.665	4.022	1635.205	-1.127
0.036	-0.457	36.317	5.632	4.030	1633.987	-1.128
0.038	-0.469	36.341	5.591	4.046	1642.516	-1.128
0.040	-0.457	36.311	5.567	4.030	1648.608	-1.128
0.041	-0.451	36.298	5.518	4.030	1652.264	-1.127
0.043	-0.451	36.335	5.493	4.038	1648.608	-1.125
0.045	-0.457	36.329	5.452	4.022	1646.171	-1.128
0.047	-0.444	36.311	5.419	4.022	1643.734	-1.128
0.049	-0.451	36.323	5.395	4.030	1638.861	-1.127
0.050	-0.438	36.323	5.354	4.030	1638.861	-1.127
0.052	36.992	36.311	5.378	4.022	1644.953	-1.119
0.054	48.597	36.323	5.362	4.038	1638.861	-1.127
0.056	48.938	36.353	5.387	4.030	1643.734	-1.128
0.058	48.968	36.347	5.395	4.030	1652.264	-1.127
0.059	48.986	36.329	5.403	4.030	1652.264	-1.127
0.061	48.986	36.353	5.419	4.030	1651.045	-1.125
0.063	48.999	36.341	5.444	4.022	1646.171	-1.127
0.065	49.011	36.323	5.444	4.030	1642.516	-1.125
0.067	49.017	36.347	5.452	4.022	1638.861	-1.127
0.068	49.011	36.335	5.460	4.030	1633.987	-1.124
0.070	49.011	36.304	5.485	4.022	1632.768	-1.125
0.072	49.023	36.335	5.485	4.022	1637.642	-1.124
0.074	49.023	36.353	5.485	4.030	1642.516	-1.128
0.076	49.029	36.311	5.501	4.030	1649.827	-1.125
0.077	49.035	36.341	5.509	4.038	1651.045	-1.125
0.079	49.029	36.365	5.501	4.038	1648.608	-1.124
0.081	49.035	36.353	5.518	4.022	1646.171	-1.125
0.083	49.035	36.341	5.518	4.030	1640.079	-1.127
0.085	49.035	36.371	5.534	4.022	1637.642	-1.127
0.086	49.041	36.365	5.542	4.030	1637.642	-1.125
0.088	49.041	36.329	5.550	4.030	1636.424	-1.125
0.090	49.035	36.353	5.550	4.022	1640.079	-1.127
0.092	49.047	36.359	5.567	4.022	1646.171	-1.127
0.094	49.041	36.335	5.559	4.030	1652.264	-1.124
0.095	49.047	36.353	5.559	4.030	1649.827	-1.124
0.097	49.047	36.365	5.567	4.022	1647.390	-1.125
0.099	49.047	36.329	5.583	4.030	1644.953	-1.124
0.101	49.041	36.335	5.583	4.030	1641.297	-1.125
0.103	48.980	36.371	5.583	4.022	1638.861	-1.127
0.104	49.047	36.347	5.591	4.038	1632.768	-1.125
0.106	49.041	36.329	5.583	4.030	1636.424	-1.124
0.108	49.041	36.359	5.608	4.038	1637.642	-1.125
0.110	49.041	36.371	5.616	4.046	1643.734	-1.125
0.112	49.041	36.347	5.616	4.030	1649.827	-1.125
