Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	49.309	27.422	3.847	3.072	1261.131	-0.902
0.002	49.303	27.397	3.863	3.080	1255.038	-0.902
0.004	49.309	27.416	3.888	3.072	1255.038	-0.899
0.005	49.309	27.428	3.896	3.072	1251.383	-0.903
0.007	49.309	27.416	3.937	3.080	1248.946	-0.901
0.009	49.315	27.416	3.953	3.080	1247.727	-0.902
0.011	49.315	27.428	3.961	3.072	1245.290	-0.898
0.013	49.303	27.422	3.986	3.080	1246.509	-0.901
0.014	49.315	27.409	3.994	3.072	1244.072	-0.899
0.016	49.321	27.440	4.027	3.080	1248.946	-0.898
0.018	49.315	27.428	4.035	3.080	1256.257	-0.899
0.020	49.315	27.409	4.051	3.080	1262.349	-0.902
0.022	49.315	27.434	4.076	3.080	1262.349	-0.901
0.023	49.315	27.422	4.092	3.080	1261.131	-0.898
0.025	49.309	27.428	4.101	3.063	1256.257	-0.899
0.027	49.309	27.428	4.109	3.080	1257.475	-0.901
0.029	49.321	27.416	4.142	3.088	1252.601	-0.901
0.031	49.309	27.428	4.150	3.072	1250.164	-0.898
0.032	49.315	27.416	4.166	3.080	1248.946	-0.899
0.034	49.309	27.452	4.183	3.088	1247.727	-0.899
0.036	49.309	27.440	4.199	3.080	1240.416	-0.899
0.038	49.303	27.422	4.207	3.080	1244.072	-0.899
0.040	49.297	27.440	4.223	3.080	1248.946	-0.898
0.041	49.303	27.428	4.248	3.072	1256.257	-0.899
0.043	49.303	27.452	4.256	3.080	1259.912	-0.899
0.045	49.291	27.452	4.264	3.080	1261.131	-0.901
0.047	49.291	27.416	4.281	3.088	1258.694	-0.901
0.049	49.291	27.434	4.305	3.080	1258.694	-0.899
0.050	49.285	27.440	4.297	3.080	1253.820	-0.899
0.052	49.291	27.416	4.330	3.080	1252.601	-0.899
0.054	49.285	27.434	4.338	3.080	1250.164	-0.901
