Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	-0.177	11.349	2.184	1.343	525.166	-0.466
0.002	-0.189	11.349	2.168	1.343	525.166	-0.465
0.004	-0.183	11.349	2.176	1.343	523.948	-0.467
0.005	-0.189	11.355	2.159	1.352	523.948	-0.465
0.007	-0.170	11.367	2.143	1.335	522.729	-0.465
0.009	-0.189	11.361	2.135	1.352	520.293	-0.466
0.011	-0.189	11.361	2.118	1.352	520.293	-0.469
0.013	-0.183	11.355	2.110	1.352	519.074	-0.464
0.014	-0.183	11.355	2.110	1.360	517.856	-0.464
0.016	-0.189	11.349	2.094	1.352	516.637	-0.465
0.018	-0.183	11.355	2.094	1.343	515.419	-0.467
0.020	-0.177	11.355	2.086	1.343	514.200	-0.466
0.022	-0.170	11.367	2.069	1.343	516.637	-0.465
0.023	-0.177	11.361	2.061	1.343	514.200	-0.464
0.025	-0.183	11.361	2.061	1.343	509.326	-0.465
0.027	-0.177	11.367	2.036	1.343	516.637	-0.466
0.029	-0.177	11.361	2.028	1.335	521.511	-0.465
0.031	-0.170	11.367	2.020	1.360	528.822	-0.465
0.032	-0.177	11.373	2.012	1.352	534.914	-0.464
0.034	-0.170	11.361	2.004	1.352	538.570	-0.464
0.036	-0.164	11.379	1.996	1.352	537.351	-0.464
0.038	-0.170	11.367	1.987	1.343	534.914	-0.466
0.040	-0.164	11.373	1.971	1.360	536.133	-0.465
0.041	-0.158	11.367	1.971	1.343	537.351	-0.464
0.043	-0.158	11.367	1.963	1.352	531.259	-0.464
0.045	-0.170	11.379	1.955	1.352	531.259	-0.465
0.047	-0.170	11.379	1.938	1.343	532.477	-0.465
0.049	-0.158	11.379	1.938	1.343	531.259	-0.465
0.050	-0.170	11.373	1.938	1.343	531.259	-0.462
0.052	-0.170	11.373	1.897	1.352	528.822	-0.465
0.054	-0.158	11.379	1.905	1.335	527.603	-0.466
0.056	-0.164	11.373	1.897	1.352	526.385	-0.465
0.058	-0.170	11.385	1.889	1.335	526.385	-0.465
0.059	-0.158	11.367	1.881	1.343	525.166	-0.464
0.061	-0.158	11.367	1.873	1.343	523.948	-0.466
0.063	-0.146	11.373	1.856	1.343	521.511	-0.465
0.065	-0.158	11.373	1.848	1.352	522.729	-0.467
0.067	43.592	11.373	1.864	1.352	549.536	-0.461
0.068	49.358	11.373	1.922	1.352	508.108	-0.467
0.070	49.565	11.367	1.963	1.343	519.074	-0.464
0.072	49.583	11.373	1.996	1.343	517.856	-0.466
0.074	49.577	11.373	2.045	1.335	519.074	-0.466
0.076	49.577	11.361	2.094	1.352	517.856	-0.466
0.077	49.571	11.373	2.110	1.352	517.856	-0.465
0.079	49.577	11.373	2.151	1.352	514.200	-0.466
0.081	49.565	11.373	2.184	1.352	510.545	-0.465
0.083	49.565	11.367	2.200	1.343	516.637	-0.466
0.085	49.559	11.373	2.241	1.343	522.729	-0.467
0.086	49.559	11.361	2.282	1.343	532.477	-0.465
0.088	49.553	11.367	2.307	1.352	536.133	-0.465
0.090	49.547	11.367	2.331	1.343	537.351	-0.467
0.092	49.547	11.361	2.381	1.335	536.133	-0.467
0.094	49.534	11.367	2.397	1.352	536.133	-0.469
0.095	49.540	11.367	2.438	1.352	536.133	-0.467
0.097	49.528	11.367	2.462	1.343	534.914	-0.467
0.099	49.534	11.367	2.479	1.343	533.696	-0.469
0.101	49.522	11.367	2.520	1.335	532.477	-0.466
0.103	49.528	11.367	2.536	1.352	531.259	-0.466
0.104	49.516	11.361	2.569	1.343	530.040	-0.469
0.106	49.510	11.367	2.593	1.343	528.822	-0.470
0.108	49.504	11.361	2.618	1.343	528.822	-0.469
0.110	49.498	11.349	2.643	1.352	526.385	-0.470
0.112	49.492	11.361	2.675	1.343	526.385	-0.469
0.113	49.492	11.349	2.700	1.360	523.948	-0.471
0.115	49.480	11.355	2.716	1.343	525.166	-0.470
0.117	49.480	11.361	2.749	1.352	522.729	-0.470
0.119	49.473	11.355	2.790	1.343	520.293	-0.471
0.121	49.461	11.361	2.806	1.352	521.511	-0.470
0.122	49.449	11.355	2.831	1.352	520.293	-0.469
0.124	49.437	11.355	2.872	1.352	517.856	-0.469
0.126	49.449	11.361	2.888	1.343	519.074	-0.470
0.128	49.449	11.349	2.905	1.360	519.074	-0.471
0.130	49.449	11.355	2.937	1.343	515.419	-0.470
0.131	49.449	11.355	2.962	1.343	516.637	-0.471
0.133	49.437	11.349	2.987	1.335	512.982	-0.470
0.135	49.437	11.342	3.011	1.343	512.982	-0.471
0.137	49.419	11.355	3.036	1.352	510.545	-0.471
0.139	49.425	11.336	3.060	1.343	515.419	-0.471
0.140	49.419	11.349	3.077	1.352	521.511	-0.470
0.142	49.407	11.349	3.118	1.352	527.603	-0.470
0.144	49.400	11.336	3.134	1.343	534.914	-0.471
0.146	49.400	11.355	3.150	1.360	539.788	-0.470
0.148	49.394	11.355	3.191	1.343	541.007	-0.470
0.149	49.394	11.342	3.200	1.343	539.788	-0.471
0.151	49.382	11.349	3.224	1.352	536.133	-0.471
0.153	49.382	11.342	3.241	1.352	533.696	-0.470
0.155	49.382	11.342	3.273	1.343	533.696	-0.472
0.157	49.376	11.349	3.298	1.352	534.914	-0.472
0.158	49.364	11.336	3.322	1.352	532.477	-0.470
0.160	49.358	11.342	3.339	1.343	531.259	-0.472
0.162	49.364	11.342	3.363	1.343	526.385	-0.473
0.164	49.358	11.336	3.388	1.343	527.603	-0.471
0.166	49.346	11.342	3.404	1.343	527.603	-0.473
0.167	49.346	11.342	3.437	1.352	527.603	-0.471
0.169	49.340	11.336	3.454	1.352	527.603	-0.471
0.171	49.333	11.342	3.478	1.343	525.166	-0.475
0.173	49.340	11.342	3.503	1.343	525.166	-0.475
0.175	49.333	11.336	3.527	1.352	521.511	-0.473
0.176	49.321	11.330	3.544	1.343	521.511	-0.473
0.178	49.315	11.336	3.560	1.343	520.293	-0.473
0.180	49.315	11.336	3.593	1.352	521.511	-0.476
0.182	49.309	11.330	3.609	1.343	521.511	-0.475
0.184	49.303	11.330	3.634	1.343	520.293	-0.475
0.185	49.297	11.330	3.658	1.352	519.074	-0.475
0.187	49.297	11.330	3.675	1.343	515.419	-0.475
0.189	47.720	11.324	3.683	1.343	510.545	-0.477
0.191	1.236	11.342	3.658	1.343	520.293	-0.472
0.193	-0.237	11.330	3.650	1.343	509.326	-0.480
0.194	-0.292	11.336	3.617	1.352	515.419	-0.473
0.196	-0.298	11.330	3.585	1.343	522.729	-0.478
0.198	-0.304	11.318	3.568	1.343	530.040	-0.476
0.200	-0.304	11.336	3.544	1.343	539.788	-0.476
0.202	-0.304	11.324	3.527	1.352	538.570	-0.475
0.203	-0.298	11.324	3.503	1.343	537.351	-0.475
0.205	-0.304	11.330	3.486	1.335	534.914	-0.476
0.207	-0.298	11.330	3.470	1.352	534.914	-0.476
0.209	-0.298	11.318	3.454	1.343	534.914	-0.478
0.211	-0.280	11.318	3.437	1.343	531.259	-0.476
0.212	-0.280	11.324	3.421	1.352	531.259	-0.475
0.214	-0.286	11.318	3.404	1.343	531.259	-0.476
0.216	-0.292	11.318	3.388	1.360	531.259	-0.477
0.218	-0.292	11.306	3.363	1.343	527.603	-0.478
0.220	-0.292	11.318	3.347	1.352	526.385	-0.477
0.221	-0.280	11.312	3.339	1.352	526.385	-0.477
0.223	-0.286	11.306	3.331	1.352	525.166	-0.478
0.225	-0.280	11.306	3.314	1.352	525.166	-0.477
0.227	-0.286	11.306	3.298	1.343	523.948	-0.477
0.229	-0.280	11.300	3.290	1.343	522.729	-0.477
0.230	-0.286	11.312	3.273	1.343	523.948	-0.475
0.232	-0.286	11.300	3.257	1.352	521.511	-0.478
0.234	-0.274	11.300	3.232	1.343	519.074	-0.476
0.236	-0.280	11.294	3.216	1.352	520.293	-0.478
0.238	-0.274	11.288	3.208	1.352	519.074	-0.477
0.239	-0.274	11.300	3.200	1.343	517.856	-0.477
0.241	-0.268	11.300	3.175	1.343	515.419	-0.476
0.243	-0.274	11.282	3.175	1.343	514.200	-0.477
0.245	-0.268	11.288	3.150	1.343	514.200	-0.475
0.247	-0.274	11.288	3.150	1.335	512.982	-0.477
0.248	-0.268	11.282	3.126	1.343	514.200	-0.476
0.250	-0.280	11.294	3.109	1.352	517.856	-0.477
0.252	-0.274	11.288	3.093	1.343	521.511	-0.476
0.254	-0.268	11.288	3.093	1.352	527.603	-0.476
0.256	-0.274	11.288	3.060	1.343	534.914	-0.476
0.257	-0.262	11.288	3.060	1.343	541.007	-0.475
0.259	-0.262	11.288	3.052	1.352	538.570	-0.475
0.261	-0.274	11.276	3.036	1.360	536.133	-0.475
0.263	-0.262	11.276	3.019	1.343	536.133	-0.477
0.265	-0.268	11.282	3.011	1.343	534.914	-0.475
0.266	-0.256	11.282	3.003	1.343	534.914	-0.476
0.268	-0.262	11.282	2.995	1.343	533.696	-0.475
0.270	-0.262	11.282	2.995	1.352	531.259	-0.476
0.272	-0.250	11.269	2.962	1.335	531.259	-0.475
0.274	-0.256	11.276	2.954	1.343	530.040	-0.476
0.275	-0.256	11.276	2.937	1.343	528.822	-0.475
0.277	-0.256	11.269	2.929	1.335	527.603	-0.473
0.279	-0.250	11.276	2.921	1.343	526.385	-0.473
0.281	-0.256	11.263	2.913	1.352	525.166	-0.476
0.283	-0.250	11.269	2.897	1.352	523.948	-0.475
0.284	-0.256	11.276	2.888	1.360	522.729	-0.476
0.286	-0.250	11.269	2.872	1.343	525.166	-0.475
0.288	-0.256	11.263	2.847	1.343	522.729	-0.475
0.290	-0.244	11.269	2.856	1.335	522.729	-0.476
0.292	-0.250	11.269	2.831	1.343	521.511	-0.476
