Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	-0.104	2.636	1.660	0.328	138.907	-0.248
0.002	-0.128	2.648	1.668	0.336	143.781	-0.250
0.003	-0.134	2.648	1.643	0.344	140.126	-0.250
0.005	-0.140	2.642	1.643	0.352	138.907	-0.250
0.006	-0.134	2.648	1.643	0.328	137.689	-0.249
0.008	-0.134	2.642	1.627	0.328	137.689	-0.250
0.009	-0.134	2.642	1.619	0.336	137.689	-0.251
0.011	-0.134	2.642	1.627	0.336	136.470	-0.250
0.012	-0.134	2.648	1.611	0.344	137.689	-0.248
0.014	-0.140	2.642	1.602	0.336	137.689	-0.249
0.015	-0.146	2.642	1.611	0.336	137.689	-0.250
0.017	-0.140	2.648	1.594	0.336	136.470	-0.250
0.019	-0.140	2.648	1.586	0.336	136.470	-0.251
0.020	-0.140	2.648	1.594	0.336	135.252	-0.250
0.022	-0.146	2.642	1.602	0.319	137.689	-0.250
0.023	-0.140	2.642	1.586	0.328	135.252	-0.251
0.025	-0.134	2.648	1.586	0.336	135.252	-0.251
0.026	-0.140	2.642	1.578	0.336	135.252	-0.250
0.028	-0.128	2.642	1.561	0.336	135.252	-0.250
0.029	-0.134	2.648	1.570	0.344	135.252	-0.250
0.031	-0.140	2.642	1.570	0.336	134.033	-0.250
0.033	-0.140	2.642	1.553	0.336	137.689	-0.250
0.034	-0.134	2.636	1.553	0.328	134.033	-0.250
0.036	-0.134	2.648	1.553	0.344	134.033	-0.248
0.037	-0.140	2.642	1.561	0.328	132.815	-0.250
0.039	-0.134	2.654	1.529	0.328	135.252	-0.249
0.040	-0.134	2.642	1.545	0.344	135.252	-0.250
0.042	-0.140	2.642	1.545	0.336	132.815	-0.250
0.043	-0.134	2.648	1.545	0.336	134.033	-0.250
0.045	-0.140	2.642	1.529	0.336	132.815	-0.250
0.046	-0.134	2.642	1.529	0.319	134.033	-0.249
0.048	-0.134	2.648	1.537	0.328	132.815	-0.250
0.050	-0.134	2.642	1.529	0.336	135.252	-0.250
0.051	-0.140	2.642	1.520	0.328	130.378	-0.249
0.053	-0.128	2.648	1.520	0.336	132.815	-0.251
0.054	-0.134	2.648	1.512	0.344	131.596	-0.248
0.056	-0.140	2.648	1.512	0.319	132.815	-0.250
0.057	-0.134	2.648	1.520	0.336	131.596	-0.250
0.059	-0.134	2.648	1.512	0.319	130.378	-0.250
0.060	-0.134	2.654	1.496	0.328	131.596	-0.248
0.062	-0.128	2.642	1.496	0.328	129.159	-0.249
0.064	-0.134	2.642	1.488	0.328	131.596	-0.249
0.065	-0.128	2.642	1.496	0.336	130.378	-0.249
0.067	-0.134	2.648	1.496	0.344	132.815	-0.250
0.068	-0.134	2.636	1.488	0.336	129.159	-0.249
0.070	-0.140	2.642	1.480	0.328	127.941	-0.249
0.071	-0.140	2.636	1.471	0.336	130.378	-0.249
0.073	-0.128	2.648	1.463	0.336	130.378	-0.250
0.074	-0.122	2.648	1.471	0.328	129.159	-0.249
