Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	48.950	28.511	5.501	3.203	1304.996	-0.924
0.002	3.951	28.493	5.485	3.194	1302.559	-0.923
0.003	-0.237	28.469	5.436	3.194	1303.778	-0.921
0.005	-0.420	28.463	5.403	3.194	1301.341	-0.920
0.006	-0.438	28.487	5.362	3.211	1295.248	-0.924
0.008	-0.444	28.518	5.337	3.186	1294.030	-0.924
0.009	-0.438	28.499	5.305	3.186	1291.593	-0.923
0.011	-0.438	28.481	5.272	3.194	1292.811	-0.923
0.012	-0.438	28.499	5.239	3.211	1297.685	-0.924
0.014	-0.432	28.493	5.215	3.203	1303.778	-0.925
0.015	-0.426	28.481	5.165	3.203	1307.433	-0.925
0.017	-0.432	28.469	5.157	3.194	1312.307	-0.925
0.019	-0.432	28.505	5.133	3.211	1309.870	-0.925
0.020	-0.432	28.511	5.092	3.203	1307.433	-0.925
0.022	-0.426	28.487	5.084	3.203	1306.214	-0.925
0.023	-0.420	28.469	5.043	3.203	1303.778	-0.925
0.025	-0.414	28.426	5.018	3.203	1301.341	-0.924
0.026	-0.420	28.457	5.010	3.194	1300.122	-0.925
0.028	-0.414	28.481	4.969	3.211	1298.904	-0.924
0.029	-0.414	28.481	4.961	3.203	1295.248	-0.926
0.031	-0.426	28.445	4.920	3.194	1292.811	-0.925
0.033	-0.414	28.475	4.895	3.194	1292.811	-0.926
0.034	-0.414	28.481	4.879	3.203	1297.685	-0.925
0.036	-0.414	28.451	4.854	3.194	1303.778	-0.925
0.037	-0.402	28.426	4.821	3.203	1307.433	-0.925
0.039	-0.408	28.475	4.813	3.203	1312.307	-0.924
0.040	-0.402	28.469	4.780	3.194	1309.870	-0.925
0.042	-0.396	28.445	4.756	3.203	1309.870	-0.925
0.043	-0.402	28.445	4.715	3.211	1309.870	-0.924
0.045	-0.402	28.438	4.707	3.203	1307.433	-0.924
0.046	-0.390	28.432	4.682	3.203	1302.559	-0.924
0.048	-0.390	28.390	4.649	3.203	1301.341	-0.925
0.050	-0.396	28.432	4.658	3.211	1298.904	-0.925
0.051	-0.390	28.457	4.617	3.203	1297.685	-0.926
0.053	-0.384	28.438	4.600	3.211	1296.467	-0.923
0.054	-0.390	28.408	4.567	3.203	1292.811	-0.925
0.056	-0.384	28.390	4.551	3.203	1292.811	-0.924
0.057	-0.377	28.384	4.527	3.219	1297.685	-0.924
0.059	-6.423	28.420	4.567	3.211	1322.055	-0.912
0.060	-0.749	28.426	4.469	3.203	1312.307	-0.920
0.062	-0.432	28.408	4.445	3.203	1311.088	-0.926
0.064	-0.402	28.402	4.445	3.211	1306.214	-0.928
0.065	-0.384	28.414	4.395	3.203	1311.088	-0.924
0.067	-0.377	28.396	4.387	3.203	1306.214	-0.924
0.068	-0.377	28.365	4.371	3.203	1302.559	-0.925
0.070	-0.384	28.396	4.346	3.203	1302.559	-0.924
0.071	-0.384	28.408	4.322	3.211	1298.904	-0.925
0.073	-0.377	28.390	4.305	3.203	1297.685	-0.923
0.074	-0.371	28.359	4.289	3.194	1295.248	-0.924
0.076	-0.371	28.359	4.256	3.203	1295.248	-0.924
0.077	-0.371	28.347	4.240	3.211	1291.593	-0.924
0.079	-0.365	28.390	4.207	3.194	1298.904	-0.924
0.081	-0.359	28.408	4.191	3.203	1302.559	-0.923
0.082	-0.359	28.396	4.166	3.194	1306.214	-0.924
0.084	-0.365	28.365	4.158	3.203	1312.307	-0.920
0.085	-0.359	28.329	4.133	3.203	1311.088	-0.924
0.087	-0.365	28.347	4.117	3.194	1311.088	-0.921
0.088	-0.359	28.378	4.084	3.211	1307.433	-0.923
0.090	-0.353	28.359	4.068	3.203	1304.996	-0.924
0.091	-0.347	28.317	4.060	3.203	1302.559	-0.924
0.093	-0.347	28.304	4.035	3.211	1302.559	-0.924
0.095	-0.341	28.304	4.010	3.203	1298.904	-0.923
0.096	-0.341	28.347	3.994	3.203	1296.467	-0.923
0.098	-0.341	28.329	3.986	3.203	1296.467	-0.921
0.099	-0.341	28.292	3.953	3.203	1291.593	-0.924
0.101	-0.341	28.250	3.937	3.203	1292.811	-0.923
0.102	-0.341	28.219	3.904	3.211	1296.467	-0.921
0.104	-0.335	28.158	3.888	3.203	1302.559	-0.920
0.105	-0.335	28.195	3.879	3.203	1308.651	-0.923
0.107	-0.341	28.250	3.855	3.211	1312.307	-0.920
0.108	-0.329	28.317	3.830	3.194	1309.870	-0.921
0.110	-0.329	28.365	3.814	3.219	1308.651	-0.924
0.112	-0.329	28.420	3.789	3.211	1306.214	-0.923
0.113	-0.323	28.426	3.773	3.211	1302.559	-0.923
0.115	-0.244	28.457	3.748	3.211	1306.214	-0.920
0.116	46.143	28.518	3.773	3.203	1302.559	-0.918
0.118	49.151	28.548	3.806	3.211	1301.341	-0.919
0.119	49.266	28.585	3.822	3.211	1294.030	-0.924
0.121	49.279	28.615	3.838	3.203	1294.030	-0.923
0.122	49.291	28.639	3.871	3.203	1292.811	-0.921
0.124	49.285	28.670	3.863	3.194	1300.122	-0.920
0.126	49.291	28.688	3.896	3.203	1301.341	-0.921
0.127	49.291	28.706	3.912	3.211	1307.433	-0.920
0.129	49.285	28.731	3.937	3.203	1312.307	-0.920
0.130	49.285	28.761	3.953	3.211	1311.088	-0.921
0.132	49.273	28.779	3.961	3.194	1309.870	-0.920
0.133	49.285	28.792	3.978	3.203	1307.433	-0.921
0.135	49.285	28.804	4.002	3.203	1304.996	-0.921
0.136	49.285	28.828	4.019	3.211	1302.559	-0.921
0.138	49.285	28.834	4.035	3.203	1302.559	-0.920
0.139	49.285	28.828	4.043	3.194	1298.904	-0.921
0.141	49.285	28.798	4.060	3.203	1297.685	-0.921
0.143	49.291	28.767	4.076	3.203	1295.248	-0.920
0.144	49.285	28.712	4.084	3.194	1291.593	-0.921
0.146	49.291	28.718	4.101	3.203	1294.030	-0.920
0.147	49.273	28.743	4.109	3.203	1297.685	-0.921
0.149	49.273	28.725	4.125	3.194	1302.559	-0.920
0.150	49.279	28.688	4.142	3.194	1307.433	-0.923
0.152	49.279	28.688	4.150	3.203	1312.307	-0.921
0.153	49.273	28.700	4.150	3.203	1308.651	-0.923
0.155	49.279	28.694	4.183	3.203	1307.433	-0.921
0.157	49.273	28.676	4.174	3.211	1304.996	-0.921
0.158	49.273	28.676	4.191	3.194	1304.996	-0.920
0.160	49.260	28.694	4.207	3.211	1300.122	-0.923
0.161	49.273	28.676	4.223	3.203	1300.122	-0.921
0.163	49.273	28.645	4.256	3.194	1298.904	-0.921
0.164	49.260	28.645	4.232	3.203	1294.030	-0.923
0.166	49.266	28.621	4.256	3.203	1294.030	-0.921
0.167	49.260	28.645	4.264	3.211	1292.811	-0.921
0.169	49.260	28.652	4.281	3.211	1300.122	-0.921
0.170	49.260	28.633	4.297	3.203	1302.559	-0.921
0.172	49.248	28.603	4.314	3.203	1308.651	-0.923
0.174	49.242	28.621	4.305	3.211	1311.088	-0.919
0.175	49.199	28.597	4.330	3.178	1312.307	-0.919
0.177	49.218	28.554	4.338	3.186	1308.651	-0.920
0.178	49.230	28.578	4.346	3.203	1307.433	-0.920
0.180	49.242	28.591	4.355	3.186	1306.214	-0.921
0.181	49.236	28.572	4.379	3.211	1302.559	-0.921
0.183	49.236	28.530	4.379	3.211	1302.559	-0.921
0.184	49.248	28.548	4.387	3.203	1298.904	-0.923
0.186	49.236	28.548	4.404	3.194	1298.904	-0.921
0.188	49.236	28.536	4.412	3.194	1295.248	-0.920
0.189	49.236	28.511	4.420	3.203	1292.811	-0.921
0.191	49.224	28.536	4.436	3.203	1291.593	-0.921
0.192	49.230	28.518	4.453	3.194	1298.904	-0.921
0.194	49.224	28.487	4.445	3.194	1303.778	-0.923
0.195	49.224	28.493	4.453	3.211	1309.870	-0.921
0.197	49.218	28.524	4.469	3.203	1311.088	-0.923
0.198	49.212	28.505	4.486	3.203	1307.433	-0.924
0.200	49.212	28.463	4.494	3.203	1307.433	-0.921
0.201	49.206	28.481	4.510	3.194	1302.559	-0.924
0.203	49.206	28.451	4.518	3.211	1303.778	-0.923
0.205	49.212	28.445	4.510	3.203	1302.559	-0.924
0.206	49.199	28.426	4.535	3.194	1297.685	-0.921
0.208	49.212	28.463	4.551	3.194	1296.467	-0.921
0.209	49.206	28.445	4.551	3.194	1294.030	-0.923
0.211	49.199	28.414	4.567	3.211	1294.030	-0.921
0.212	49.199	28.408	4.576	3.203	1294.030	-0.923
0.214	49.199	28.371	4.592	3.203	1296.467	-0.924
0.215	49.199	28.402	4.600	3.194	1302.559	-0.921
0.217	49.193	28.432	4.608	3.194	1307.433	-0.921
0.219	49.193	28.420	4.608	3.194	1312.307	-0.923
0.220	49.187	28.384	4.633	3.194	1312.307	-0.923
0.222	49.193	28.359	4.641	3.211	1311.088	-0.923
0.223	49.181	28.341	4.633	3.203	1309.870	-0.923
0.225	49.181	28.396	4.658	3.203	1306.214	-0.921
0.226	49.175	28.384	4.658	3.194	1302.559	-0.924
0.228	49.169	28.371	4.674	3.203	1301.341	-0.923
0.229	49.169	28.353	4.674	3.203	1297.685	-0.923
0.231	49.169	28.329	4.699	3.203	1295.248	-0.923
0.232	49.169	28.341	4.699	3.203	1295.248	-0.923
0.234	49.163	28.384	4.707	3.211	1291.593	-0.924
0.236	49.169	28.371	4.723	3.203	1294.030	-0.920
0.237	49.163	28.335	4.715	3.203	1297.685	-0.923
0.239	49.163	28.329	4.731	3.211	1302.559	-0.923
0.240	49.163	28.298	4.756	3.203	1308.651	-0.924
0.242	49.157	28.347	4.739	3.211	1312.307	-0.923
0.243	49.157	28.353	4.764	3.211	1308.651	-0.925
0.245	49.157	28.323	4.780	3.211	1308.651	-0.924
0.246	49.151	28.298	4.780	3.211	1303.778	-0.925
0.248	49.151	28.335	4.780	3.194	1302.559	-0.925
0.250	49.145	28.335	4.805	3.194	1301.341	-0.924
0.251	49.145	28.304	4.805	3.203	1298.904	-0.925
0.253	49.139	28.292	4.813	3.203	1296.467	-0.925
0.254	49.133	28.238	4.821	3.194	1292.811	-0.925
0.256	49.145	28.274	4.830	3.211	1295.248	-0.925
0.257	49.133	28.311	4.838	3.203	1294.030	-0.924
0.259	49.133	28.292	4.854	3.203	1298.904	-0.924
0.260	49.133	28.256	4.846	3.211	1302.559	-0.925
0.262	49.120	28.280	4.871	3.203	1309.870	-0.925
0.263	49.120	28.262	4.871	3.203	1313.525	-0.925
0.265	49.126	28.244	4.887	3.203	1313.525	-0.924
