Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	49.595	11.093	2.176	1.311	525.166	-0.475
0.002	49.583	11.105	2.200	1.311	525.166	-0.475
0.003	49.577	11.093	2.225	1.319	523.948	-0.472
0.005	49.583	11.093	2.258	1.311	522.729	-0.473
0.006	49.571	11.093	2.299	1.311	521.511	-0.473
0.008	49.565	11.105	2.315	1.311	520.293	-0.475
0.009	49.565	11.099	2.340	1.311	521.511	-0.473
0.011	49.559	11.105	2.372	1.302	521.511	-0.475
0.012	49.559	11.099	2.413	1.311	521.511	-0.471
0.014	49.547	11.093	2.413	1.302	519.074	-0.473
0.015	49.540	11.105	2.446	1.311	516.637	-0.473
0.017	49.547	11.099	2.479	1.311	516.637	-0.475
0.019	49.534	11.093	2.495	1.319	516.637	-0.476
0.020	49.534	11.099	2.544	1.319	514.200	-0.475
0.022	49.528	11.099	2.553	1.327	514.200	-0.475
0.023	49.522	11.087	2.585	1.302	512.982	-0.476
0.025	49.522	11.105	2.593	1.311	512.982	-0.475
0.026	49.516	11.105	2.634	1.327	512.982	-0.475
0.028	49.516	11.099	2.643	1.319	512.982	-0.476
0.029	49.510	11.093	2.675	1.311	510.545	-0.473
0.031	49.504	11.099	2.700	1.311	509.326	-0.476
0.033	49.498	11.099	2.716	1.311	508.108	-0.475
0.034	49.492	11.099	2.749	1.311	509.326	-0.476
0.036	49.492	11.099	2.774	1.302	506.889	-0.476
0.037	49.473	11.093	2.790	1.311	502.015	-0.476
0.039	49.486	11.099	2.815	1.319	506.889	-0.476
0.040	49.480	11.099	2.839	1.311	514.200	-0.476
0.042	49.473	11.099	2.872	1.311	519.074	-0.475
0.043	49.443	11.093	2.872	1.311	525.166	-0.475
0.045	49.455	11.099	2.905	1.311	530.040	-0.476
0.046	49.449	11.087	2.929	1.302	531.259	-0.477
0.048	49.449	11.099	2.962	1.319	527.603	-0.476
0.050	49.449	11.099	2.970	1.302	528.822	-0.476
0.051	49.443	11.099	2.987	1.302	525.166	-0.477
0.053	49.449	11.111	3.019	1.311	527.603	-0.477
0.054	49.443	11.093	3.028	1.311	526.385	-0.477
0.056	49.437	11.099	3.069	1.319	525.166	-0.480
0.057	49.431	11.099	3.085	1.311	522.729	-0.477
0.059	49.425	11.111	3.118	1.302	522.729	-0.476
0.060	49.419	11.105	3.126	1.319	522.729	-0.478
0.062	49.413	11.099	3.150	1.319	520.293	-0.477
0.064	49.413	11.093	3.167	1.311	519.074	-0.478
0.065	49.407	11.099	3.183	1.302	521.511	-0.477
0.067	49.407	11.099	3.208	1.311	519.074	-0.480
0.068	49.400	11.093	3.232	1.311	517.856	-0.477
0.070	49.394	11.099	3.241	1.319	517.856	-0.478
0.071	49.388	11.099	3.265	1.319	517.856	-0.478
0.073	49.382	11.099	3.298	1.311	516.637	-0.478
0.074	49.382	11.099	3.322	1.311	516.637	-0.480
0.076	49.382	11.087	3.322	1.319	514.200	-0.478
0.077	49.370	11.087	3.355	1.302	514.200	-0.480
0.079	49.370	11.087	3.372	1.311	511.763	-0.480
0.081	49.364	11.099	3.396	1.302	511.763	-0.478
0.082	49.364	11.081	3.421	1.319	511.763	-0.477
0.084	49.358	11.087	3.429	1.311	511.763	-0.478
0.085	49.352	11.093	3.462	1.311	509.326	-0.477
0.087	49.352	11.087	3.478	1.294	508.108	-0.477
0.088	49.340	11.087	3.494	1.311	508.108	-0.480
0.090	49.340	11.093	3.511	1.311	506.889	-0.478
0.091	49.340	11.075	3.544	1.311	506.889	-0.480
0.093	49.333	11.087	3.552	1.302	505.671	-0.478
0.095	49.327	11.087	3.568	1.302	510.545	-0.478
0.096	49.321	11.087	3.593	1.311	506.889	-0.478
0.098	49.321	11.087	3.609	1.319	514.200	-0.478
0.099	49.315	11.087	3.634	1.319	520.293	-0.477
0.101	49.315	11.087	3.650	1.311	527.603	-0.480
0.102	49.303	11.087	3.691	1.302	532.477	-0.478
0.104	49.303	11.081	3.707	1.302	531.259	-0.480
0.105	4.493	11.087	3.666	1.302	505.671	-0.480
0.107	-0.061	11.075	3.642	1.302	528.822	-0.476
0.108	-0.274	11.069	3.617	1.319	528.822	-0.477
0.110	-0.286	11.087	3.609	1.302	528.822	-0.480
0.112	-0.292	11.075	3.576	1.311	526.385	-0.480
0.113	-0.298	11.075	3.568	1.302	526.385	-0.476
0.115	-0.304	11.081	3.544	1.311	526.385	-0.478
0.116	-0.298	11.069	3.535	1.302	525.166	-0.478
0.118	-0.298	11.069	3.511	1.311	522.729	-0.480
0.119	-0.298	11.075	3.494	1.302	522.729	-0.480
0.121	-0.292	11.081	3.486	1.311	522.729	-0.478
0.122	-0.298	11.069	3.462	1.302	522.729	-0.480
0.124	-0.286	11.075	3.445	1.319	519.074	-0.480
0.126	-0.292	11.081	3.421	1.302	519.074	-0.478
0.127	-0.286	11.069	3.429	1.311	519.074	-0.481
0.129	-0.292	11.069	3.396	1.319	517.856	-0.480
0.130	-0.286	11.075	3.388	1.311	516.637	-0.480
0.132	-0.286	11.075	3.380	1.319	516.637	-0.480
0.133	-0.292	11.062	3.372	1.319	515.419	-0.480
0.135	-0.292	11.069	3.347	1.327	514.200	-0.481
0.136	-0.280	11.075	3.347	1.311	512.982	-0.478
0.138	-0.286	11.062	3.314	1.302	511.763	-0.481
0.139	-0.286	11.075	3.314	1.311	512.982	-0.481
0.141	-0.286	11.075	3.314	1.302	511.763	-0.481
0.143	-0.280	11.069	3.290	1.302	511.763	-0.481
0.144	-0.286	11.069	3.265	1.319	508.108	-0.480
0.146	-0.280	11.075	3.273	1.302	509.326	-0.482
0.147	-0.286	11.075	3.249	1.311	509.326	-0.480
0.149	-0.286	11.075	3.241	1.294	506.889	-0.482
0.150	-0.280	11.075	3.232	1.319	502.015	-0.480
0.152	-0.274	11.062	3.216	1.302	505.671	-0.482
0.153	-0.280	11.069	3.200	1.311	515.419	-0.481
0.155	-0.280	11.062	3.200	1.302	517.856	-0.480
0.157	-0.280	11.069	3.175	1.311	526.385	-0.480
0.158	-0.274	11.062	3.175	1.311	530.040	-0.481
0.160	-0.274	11.069	3.159	1.311	530.040	-0.481
0.161	-0.268	11.050	3.159	1.302	528.822	-0.480
0.163	-0.262	11.056	3.134	1.302	530.040	-0.482
0.164	-0.268	11.062	3.126	1.319	528.822	-0.481
0.166	-0.268	11.062	3.118	1.311	526.385	-0.482
0.167	-0.274	11.062	3.101	1.302	527.603	-0.482
0.169	-0.268	11.062	3.093	1.319	525.166	-0.481
0.170	-0.268	11.056	3.077	1.311	523.948	-0.482
0.172	-0.274	11.056	3.069	1.311	522.729	-0.482
0.174	-0.268	11.056	3.060	1.302	523.948	-0.483
0.175	-0.262	11.062	3.052	1.302	521.511	-0.481
0.177	-0.262	11.056	3.036	1.311	522.729	-0.480
0.178	-0.262	11.050	3.019	1.311	519.074	-0.482
0.180	-0.262	11.050	3.019	1.302	519.074	-0.481
0.181	-0.268	11.050	3.011	1.302	517.856	-0.481
0.183	-0.262	11.050	3.003	1.302	517.856	-0.481
0.184	-0.256	11.050	2.978	1.302	517.856	-0.480
0.186	-0.262	11.056	2.978	1.302	516.637	-0.481
0.188	-0.256	11.044	2.962	1.311	515.419	-0.480
0.189	-0.256	11.050	2.946	1.302	514.200	-0.480
0.191	-0.250	11.050	2.954	1.302	512.982	-0.480
0.192	-0.256	11.044	2.937	1.302	512.982	-0.480
0.194	-0.256	11.050	2.929	1.302	512.982	-0.480
0.195	-0.244	11.056	2.913	1.319	512.982	-0.478
0.197	-0.244	11.044	2.913	1.302	510.545	-0.480
0.198	-0.244	11.050	2.897	1.302	509.326	-0.480
0.200	-0.250	11.044	2.888	1.311	509.326	-0.480
0.201	-0.250	11.044	2.864	1.302	508.108	-0.478
0.203	-0.244	11.050	2.872	1.311	508.108	-0.478
0.205	-0.244	11.044	2.872	1.302	506.889	-0.478
0.206	-0.250	11.038	2.831	1.302	505.671	-0.480
0.208	-0.244	11.050	2.839	1.311	511.763	-0.478
0.209	-0.237	11.050	2.831	1.294	508.108	-0.477
0.211	-0.250	11.050	2.815	1.319	515.419	-0.480
0.212	-0.237	11.038	2.806	1.302	520.293	-0.477
0.214	-0.244	11.044	2.798	1.319	526.385	-0.480
0.215	-0.244	11.050	2.790	1.311	532.477	-0.478
0.217	-0.237	11.044	2.765	1.311	531.259	-0.477
0.219	-0.244	11.038	2.765	1.302	530.040	-0.477
0.220	-0.237	11.050	2.749	1.302	530.040	-0.478
0.222	-0.237	11.038	2.741	1.311	528.822	-0.477
0.223	-0.237	11.056	2.741	1.311	527.603	-0.477
0.225	-0.231	11.044	2.733	1.311	527.603	-0.477
0.226	-0.237	11.038	2.725	1.311	526.385	-0.476
0.228	-0.237	11.038	2.708	1.319	525.166	-0.477
0.229	-0.237	11.038	2.708	1.311	523.948	-0.478
0.231	-0.237	11.050	2.692	1.302	523.948	-0.477
0.232	-0.231	11.038	2.692	1.294	522.729	-0.475
0.234	-0.231	11.044	2.675	1.319	521.511	-0.476
0.236	-0.231	11.038	2.659	1.302	520.293	-0.477
0.237	-0.231	11.038	2.651	1.311	520.293	-0.477
0.239	-0.231	11.044	2.651	1.302	520.293	-0.476
0.240	-0.231	11.038	2.634	1.302	519.074	-0.475
0.242	-0.231	11.038	2.626	1.319	516.637	-0.477
0.243	-0.225	11.032	2.618	1.311	516.637	-0.476
0.245	-0.219	11.038	2.618	1.319	517.856	-0.477
0.246	-0.231	11.038	2.610	1.294	516.637	-0.476
0.248	-0.225	11.026	2.602	1.302	512.982	-0.476
0.250	-0.225	11.038	2.593	1.319	514.200	-0.476
0.251	-0.225	11.026	2.585	1.311	515.419	-0.477
0.253	-0.213	11.026	2.569	1.311	511.763	-0.475
0.254	-0.219	11.032	2.561	1.327	510.545	-0.476
0.256	-0.219	11.032	2.553	1.302	510.545	-0.476
0.257	-0.213	11.020	2.544	1.311	510.545	-0.476
0.259	-0.219	11.038	2.536	1.319	508.108	-0.477
0.260	-0.219	11.026	2.528	1.302	508.108	-0.477
0.262	-0.213	11.020	2.512	1.319	508.108	-0.476
0.263	-0.231	11.032	2.520	1.302	503.234	-0.476
0.265	-0.207	11.032	2.512	1.311	505.671	-0.475
0.267	-0.219	11.038	2.487	1.294	512.982	-0.476
0.268	-0.225	11.026	2.479	1.302	517.856	-0.475
0.270	-0.213	11.038	2.479	1.311	527.603	-0.476
0.271	-0.219	11.032	2.462	1.311	531.259	-0.475
0.273	-0.213	11.032	2.454	1.319	530.040	-0.475
0.274	-0.219	11.032	2.454	1.311	530.040	-0.476
0.276	-0.213	11.032	2.446	1.311	528.822	-0.477
0.277	-0.207	11.026	2.430	1.311	527.603	-0.475
0.279	-0.213	11.032	2.421	1.302	527.603	-0.477
0.281	-0.213	11.038	2.405	1.302	525.166	-0.478
0.282	-0.213	11.038	2.405	1.319	523.948	-0.477
0.284	-0.213	11.032	2.405	1.319	522.729	-0.478
0.285	-0.201	11.038	2.389	1.319	525.166	-0.476
0.287	-0.201	11.038	2.397	1.311	522.729	-0.477
0.288	-0.207	11.032	2.364	1.319	522.729	-0.477
0.290	-0.201	11.038	2.364	1.311	521.511	-0.477
0.291	-0.207	11.044	2.340	1.302	522.729	-0.476
0.293	-0.201	11.032	2.340	1.302	519.074	-0.476
0.294	-0.201	11.038	2.340	1.311	519.074	-0.476
0.296	-0.201	11.038	2.331	1.319	517.856	-0.475
0.298	-0.201	11.038	2.323	1.311	516.637	-0.478
0.299	-0.189	11.038	2.307	1.294	515.419	-0.475
0.301	-0.195	11.044	2.299	1.302	515.419	-0.475
0.302	-0.195	11.044	2.299	1.319	514.200	-0.476
0.304	-0.201	11.050	2.290	1.319	512.982	-0.477
0.305	-0.195	11.050	2.282	1.311	515.419	-0.475
0.307	-0.195	11.050	2.274	1.311	510.545	-0.476
0.308	-0.189	11.056	2.266	1.311	510.545	-0.477
0.310	-0.195	11.056	2.249	1.311	510.545	-0.476
0.312	-0.195	11.050	2.249	1.311	510.545	-0.476
0.313	-0.189	11.050	2.249	1.319	509.326	-0.473
0.315	-0.189	11.044	2.233	1.302	508.108	-0.475
0.316	-0.195	11.050	2.225	1.311	508.108	-0.473
0.318	-0.195	11.050	2.217	1.311	505.671	-0.476
0.319	-0.195	11.056	2.200	1.319	505.671	-0.476
