Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	-0.122	2.941	1.357	0.377	153.529	-0.244
0.002	-0.122	2.947	1.357	0.369	152.310	-0.244
0.003	-0.122	2.935	1.348	0.369	152.310	-0.245
0.005	-0.122	2.947	1.348	0.352	152.310	-0.243
0.006	-0.122	2.947	1.348	0.360	152.310	-0.244
0.008	-0.128	2.941	1.340	0.369	151.092	-0.243
0.009	-0.110	2.953	1.340	0.360	151.092	-0.244
0.011	-0.122	2.947	1.324	0.360	152.310	-0.243
0.012	-0.122	2.941	1.332	0.369	151.092	-0.245
0.014	-0.122	2.953	1.324	0.360	149.873	-0.243
0.015	-0.122	2.947	1.332	0.369	152.310	-0.244
0.017	-0.110	2.947	1.324	0.360	153.529	-0.245
0.019	-0.122	2.953	1.316	0.352	153.529	-0.243
0.020	-0.110	2.947	1.324	0.369	148.655	-0.245
0.022	-0.122	2.947	1.324	0.360	149.873	-0.245
0.023	-0.116	2.947	1.307	0.360	149.873	-0.243
0.025	-0.116	2.947	1.316	0.369	151.092	-0.244
0.026	-0.110	2.947	1.291	0.369	148.655	-0.244
0.028	-0.116	2.947	1.316	0.369	148.655	-0.245
0.029	-0.116	2.947	1.307	0.360	148.655	-0.244
0.031	-0.116	2.941	1.299	0.377	148.655	-0.245
0.033	-0.104	2.941	1.299	0.369	148.655	-0.245
0.034	-0.122	2.947	1.291	0.360	149.873	-0.244
0.036	-0.116	2.941	1.283	0.360	147.437	-0.244
0.037	-0.110	2.947	1.291	0.369	147.437	-0.244
0.039	-0.110	2.947	1.275	0.352	148.655	-0.245
0.040	-0.110	2.953	1.291	0.369	147.437	-0.244
0.042	-0.116	2.941	1.275	0.352	146.218	-0.246
0.043	-0.116	2.941	1.291	0.360	146.218	-0.245
0.045	-0.122	2.947	1.291	0.369	146.218	-0.246
0.046	-0.128	2.947	1.267	0.377	147.437	-0.245
0.048	-0.104	2.947	1.267	0.360	143.781	-0.245
0.050	-0.116	2.947	1.275	0.352	147.437	-0.244
0.051	-0.122	2.941	1.267	0.369	145.000	-0.246
0.053	-0.116	2.947	1.258	0.352	146.218	-0.244
0.054	-0.110	2.947	1.250	0.369	146.218	-0.245
0.056	-0.110	2.947	1.258	0.377	145.000	-0.245
0.057	-0.104	2.953	1.250	0.369	143.781	-0.245
0.059	-0.104	2.953	1.242	0.369	145.000	-0.245
0.060	-0.122	2.953	1.250	0.377	145.000	-0.246
0.062	-0.110	2.953	1.250	0.352	145.000	-0.245
0.064	-0.116	2.947	1.234	0.369	143.781	-0.245
0.065	-0.104	2.953	1.242	0.360	142.563	-0.245
0.067	-0.116	2.959	1.226	0.369	142.563	-0.246
0.068	-0.104	2.953	1.242	0.369	142.563	-0.245
0.070	-0.104	2.941	1.226	0.369	142.563	-0.245
0.071	-0.110	2.941	1.234	0.369	141.344	-0.244
0.073	-0.110	2.947	1.217	0.377	141.344	-0.245
0.074	-0.110	2.953	1.217	0.369	141.344	-0.245
0.076	-0.110	2.959	1.217	0.369	141.344	-0.246
0.077	-0.097	2.947	1.234	0.369	142.563	-0.246
0.079	-0.110	2.953	1.217	0.377	140.126	-0.246
0.081	-0.110	2.947	1.217	0.377	142.563	-0.245
0.082	-0.110	2.953	1.209	0.360	141.344	-0.246
0.084	41.187	2.959	1.242	0.369	142.563	-0.239
0.085	49.199	2.947	1.267	0.377	147.437	-0.244
0.087	49.626	2.959	1.316	0.360	141.344	-0.248
